OBJECTID,Join_Count,TARGET_FID,url,building,PerSqFeet,lat,lon,NAME_ENG,NAME_CHT,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND,Shape_Leng
361,2,361,https://hk.centanet.com/findproperty/centadata-details/%E8%8F%AF%E5%AF%B6%E5%A4%A7%E5%BB%88_2-UUOJURQARO,華寶大廈,8668,22.30638,114.18672,WAH BO BUILDING,華寶大廈,58,1514.3,249.9,1764.2,16,40,19800,0.2,1,0,0,1,0,837285,818598,九龍城區,Kowloon City,*,57.57716331
362,1,362,https://hk.centanet.com/findproperty/centadata-details/%E6%A6%AE%E8%8B%B1%E6%A8%93_2-EEYWGPYAPE,榮英樓,8678,22.32265,114.16969,Wing Ying Building,榮英樓,0,2416,336.2,2752.2,11,55,20160,0.1,1,0,0,1,0,835530,820405,油尖旺區,Yau Tsim Mong,*,82.32952087
363,1,363,https://hk.centanet.com/findproperty/centadata-details/%E9%8C%A6%E6%B3%B0%E8%8B%91_2-DFRVFROERV,錦泰苑,8681,22.40884,114.22194,KAM TAI SHOPPING CENTRE,錦泰商場,0,0,35481,35481,7,24,44600,1.5,1,0,0,0,1,0,0,沙田區,Sha Tin, ,320.1947438
364,1,364,https://hk.centanet.com/findproperty/centadata-details/%E9%87%91%E6%A9%8B%E5%A4%A7%E5%BB%88_2-UFJQQRQERS,金橋大廈,8681,22.33583,114.19554,CAMBRIDGE BUILDING,金橋大廈,0,3788,728.3,4516.3,6,61,20400,0.8,0,1,0,1,0,838189,821863,黃大仙區,Wong Tai Sin,**,160.7272802
365,1,365,https://hk.centanet.com/findproperty/centadata-details/%E6%98%8C%E9%81%A0%E5%A4%A7%E5%BB%88_2-UDQVURFRRV,昌遠大廈,8683,22.32864,114.15789,CHEONG YUEN BUILDING,昌遠大廈,0,7068.2,1653.6,8721.8,12,59,23250,0.4,1,2,0,1,0,834317,821070,深水埗區,Sham Shui Po,***,139.7173668
366,1,366,https://hk.centanet.com/findproperty/centadata-details/%E6%BB%BF%E5%88%A9%E5%A4%A7%E5%BB%88_2-VCVSURFXRO,滿利大廈,8690,22.44243,114.03126,MARIANA BUILDING - PODIUM,滿利大廈 - 平台,38,1550.8,695.6,2246.4,2,42,24200,0.3,1,0,0,1,0,821278,833680,元朗區,Yuen Long,*,78.62209447
367,2,367,https://hk.centanet.com/findproperty/centadata-details/%E8%8D%94%E7%81%A3%E8%8A%B1%E5%9C%92_2-UVUQFRCXRQ,荔灣花園,8699,22.34194,114.13611,LAI CHI KOK BAY GARDEN BLOCK C,荔灣花園Ｃ座,600,30182.7,7361.2,37543.9,20,47,33050,0.4,1,0,0,0,0,832069,822542,葵青區,Kwai Tsing,*,134.2512166
368,1,368,https://hk.centanet.com/findproperty/centadata-details/%E5%A4%A9%E9%A6%AC%E8%8B%91_2-EYPBBPPYPE,天馬苑,8718,22.34294,114.18624,TIN MA COURT CARPARK,天馬苑停車場,0,27320.4,22.8,27343.2,4,38,28200,0.8,0,0,0,1,1,0,0,黃大仙區,Wong Tai Sin, ,316.7521337
369,2,369,https://hk.centanet.com/findproperty/centadata-details/%E8%8F%AF%E6%B3%B0%E5%A4%A7%E5%BB%88_2-TXHIZHTXHN,華泰大廈,8719,22.26318,114.23593,WAH TAI MANSION,華泰大廈,0,6963.2,1538.8,8502,24,48,23770,0.05,1,0,0,1,0,842353,813827,東區,Eastern,*,82.20186164
370,1,370,https://hk.centanet.com/findproperty/centadata-details/%E5%85%86%E6%A5%AD%E5%A4%A7%E5%BB%88_2-MMHZZHTRHM,兆業大廈,8741,22.32314,114.17017,SIU YIP HOUSE,兆業大廈,0,1593.1,1039.9,2633,14,51,13500,0.1,1,0,1,1,0,835578,820457,油尖旺區,Yau Tsim Mong,*,78.70957379
371,1,371,https://hk.centanet.com/findproperty/centadata-details/%E8%81%AF%E5%BE%B7%E5%A4%A7%E5%BB%88_2-TTLZIHTHHM,聯德大廈,8745,22.2877,114.1435,LUEN TAK BUILDING,聯德大廈,0,3787.4,887.8,4675.2,14,57,23560,0.05,1,1,0,1,0,832827,816540,中西區,Central and Western,**,99.22538611
372,1,372,https://hk.centanet.com/findproperty/centadata-details/%E4%BB%81%E5%AE%89%E5%A4%A7%E5%BB%88_2-UUCSURURRJ,仁安大廈,8746,22.32211,114.18779,YAN ON BUILDING,仁安大廈,0,1774.3,161.3,1935.6,12,61,31850,0.5,1,1,0,1,0,837390,820344,九龍城區,Kowloon City,**,53.65436173
373,2,373,https://hk.centanet.com/findproperty/centadata-details/%E6%9D%B1%E5%A8%81%E5%A4%A7%E5%BB%88_2-ODJOFRVVRO,東威大廈,8747,22.27925,114.23033,EASTWAY TOWERS BLOCK 3,東威大廈第三座,528,24589.6,4296,28885.6,26,48,24500,0.05,1,0,0,0,0,841779,815604,東區,Eastern,*,108.8994338
374,1,374,https://hk.centanet.com/findproperty/centadata-details/%E5%98%89%E5%BC%B7%E8%8B%91_2-EYDDBPPVPE,嘉強苑,8751,22.34107,114.18429,KA WUI HOUSE,嘉匯閣,0,19504,129,19633,25,26,31000,0.7,1,0,0,1,0,837033,822443,黃大仙區,Wong Tai Sin,*,185.1315226
375,1,375,https://hk.centanet.com/findproperty/centadata-details/%E7%93%8A%E8%BB%92%E8%8B%91_2-EYPPWWPEWY,瓊軒苑,8755,22.34136,114.20894,KING HIN COURT,瓊軒苑,0,27332.1,36.9,27369,41,23,31050,0.9,1,0,0,1,0,839571,822474,黃大仙區,Wong Tai Sin,*,184.3419353
376,1,376,https://hk.centanet.com/findproperty/centadata-details/%E6%A5%AD%E6%98%8C%E5%A4%A7%E5%BB%88_2-SSBGBPSHPG,業昌大廈,8759,22.28652,114.13507,YIP CHEONG BUILDING,業昌大廈,0,22615.1,3817.6,26432.7,17,54,19940,0.05,1,2,0,0,0,831964,816434,中西區,Central and Western,***,186.924781
377,1,377,https://hk.centanet.com/findproperty/centadata-details/%E5%AE%89%E5%AF%A7%E8%8A%B1%E5%9C%92_2-GDAPBPKRPA,安寧花園,8768,22.31648,114.26314,ON NING GARDEN BLOCK 3,安寧花園第3座,2300,129273,6072,135345,39,34,32400,0.05,1,0,0,0,1,845157,819721,西貢區,Sai Kung,*,174.418089
378,2,378,https://hk.centanet.com/findproperty/centadata-details/%E5%B1%B1%E7%BF%A0%E8%8B%91_2-SGYBGPBXPB,山翠苑,8770,22.2698,114.23342,SHAN TSUI COURT TSUI PUI HOUSE BLOCK A,山翠苑 翠珮閣 A座,0,9940,0,9940,33,43,24000,0.9,1,0,0,1,0,842099,814551,東區,Eastern,*,106.9798168
379,1,379,https://hk.centanet.com/findproperty/centadata-details/%E8%90%AC%E5%AF%B6%E5%A4%A7%E5%BB%88_2-EYPWWPWJPS,萬寶大廈,8779,22.29173,114.19916,MARVEL BUILDING,萬寶大廈,38,1746.5,776,2522.5,23,37,25000,0.05,1,0,0,1,0,838563,816975,東區,Eastern,*,69.5471559
380,2,380,https://hk.centanet.com/findproperty/centadata-details/%E5%BA%B7%E9%BA%97%E5%9C%92_2-MLTHTHMYHZ,康麗園,8781,22.31915,114.22293,CONNIE TOWERS BLOCK A,康麗園Ａ座,0,23250.7,0,23250.7,24,51,33260,0.9,1,0,0,1,0,841014,820018,觀塘區,Kwun Tong,*,87.30278486
381,1,381,https://hk.centanet.com/findproperty/centadata-details/%E5%A6%82%E6%84%8F%E6%A8%93_2-EYBSWPGSPK,如意樓,8787,22.28679,114.14019,YU YEE BUILDING,如意樓,15,536,141.3,677.3,6,42,21500,0.2,0,0,0,0,0,832484,816436,中西區,Central and Western,*,43.90345814
382,1,382,https://hk.centanet.com/findproperty/centadata-details/%E6%B3%B0%E6%98%8C%E6%A8%93_2-UDRCFRFORJ,泰昌樓,8791,22.32682,114.16149,TAI CHEONG MANSION,泰昌樓,16,447.4,504.9,952.3,6,43,15630,0.4,0,0,1,0,0,834680,820868,深水埗區,Sham Shui Po,*,54.46339579
