OID_,SampleBuilding,Area,PerSqFeet,lat,long,CSU_ID,NAME_ENG,NAME_CHT,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND
223,中南大廈,595,13109,22.288689999999999,114.193579999999997,3798516640T20050430,CHUNG NAM MANSION,中南大廈,0,4942.300000000000182,585.500000000000000,5527.800000000000182,18,59,37500,0.05,1,0,0,1,0,837985,816640,東區,Eastern,*
224,嘉雲樓,629,14276,22.291770000000000,114.196590000000000,3829916978T20050430,GARLAND HOUSE,嘉雲樓,0,1217.000000000000000,263.699999999999989,1480.700000000000045,12,59,27490,0.4,1,0,0,1,0,838299,816978,東區,Eastern,*
225,同達大廈,550,13636,22.286760000000001,114.137100000000004,3216316438T20050430,TUNG TAT BUILDING,同達大廈,0,2045.799999999999955,328.399999999999977,2374.199999999999818,14,59,20400,0.05,1,0,0,1,0,832163,816438,中西區,Central and Western,*
226,協興大廈,529,8279,22.280470000000001,114.155389999999997,3405015737T20050430,GRAND PROGRESS BUILDING,協興大廈,0,0,2131.599999999999909,2131.599999999999909,11,47,31000,0.2,1,0,0,1,0,0,0,中西區,Central and Western, 
227,瑜德大廈,583,11989,22.306100000000001,114.167429999999996,3529518572T20140224,YUE TAK BUILDING,瑜德大廈,0,3294.400000000000091,371.000000000000000,3665.400000000000091,15,60,19900,0.1,1,1,0,1,0,835295,818572,油尖旺區,Yau Tsim Mong,**
228,立基大廈,447,8680,22.320910000000001,114.189760000000007,3759320213T20050430,LUCKY HOUSE,立基大廈,0,5274.000000000000000,591.899999999999977,5865.899999999999636,12,59,24500,0.4,1,0,0,1,0,837593,820213,九龍城區,Kowloon City,*
229,德威大廈 (一期及二期),713,16129,22.319379999999999,114.177850000000007,3636920041T20050430,TAK WAI MANSION PHASE II,德威大廈第二期,0,5036.399999999999636,592.500000000000000,5628.899999999999636,18,58,52500,1.000000000000000,1,0,0,0,0,836369,820041,九龍城區,Kowloon City,*
230,宏興大廈,698,9312,22.248270000000002,114.155910000000006,3410712168T20050430,VENG HING BUILDING,宏興大廈,0,2523.199999999999818,499.800000000000011,3023.000000000000000,13,59,26250,2.500000000000000,1,1,0,1,0,834107,812168,南區,Southern,**
231,德豐大樓,577,12998,22.278040000000001,114.180049999999994,3659115466T20050430,TAK FUNG HOUSE,德豐大樓,0,1501.900000000000091,535.899999999999977,2037.799999999999955,9,59,19500,0.4,0,1,0,1,0,836591,815466,灣仔區,Wan Chai,**
232,仁德大廈,518,8301,22.291580000000000,114.198350000000005,3850516972T20050430,YEN DACK BUILDING,仁德大廈,0,14404.000000000000000,971.000000000000000,15375.000000000000000,20,60,17720,0.2,1,2,1,1,0,838505,816972,東區,Eastern,***
233,國際大樓,920,9434,22.321429999999999,114.171139999999994,3567520273T20050430,KWOK CHAI BUILDING,國際大廈,0,3028.000000000000000,1153.000000000000000,4181.000000000000000,18,60,20500,0.1,1,1,0,1,0,835675,820273,油尖旺區,Yau Tsim Mong,**
234,協德大廈,455,15824,22.269690000000001,114.184749999999994,3708014543T20050430,HIAP TECK BUILDING,協德大廈,0,1428.099999999999909,479.100000000000023,1907.200000000000045,8,59,30000,1.500000000000000,1,0,0,1,0,837080,814543,灣仔區,Wan Chai,*
235,興隆大廈,590,8135,22.330220000000001,114.159930000000003,3452621244T20050430,HING LUNG BUILDING,興隆大廈,0,3486.000000000000000,310.199999999999989,3796.199999999999818,13,60,15000,0.2,1,2,1,1,0,834526,821244,深水埗區,Sham Shui Po,***
236,順泰大廈,512,9765,22.286650000000002,114.140940000000001,3256616422T20050430,SHUN TAI BUILDING,順泰大廈,66,2622.400000000000091,602.600000000000023,3225.000000000000000,24,32,31250,0.05,1,0,0,1,0,832566,816422,中西區,Central and Western,*
237,永德園,808,14603,22.328340000000001,114.185180000000003,3712421034T20050430,MAYFAIR GARDEN,永德園,0,2225.099999999999909,0,2225.099999999999909,7,60,55000,0.6,1,0,0,1,0,837124,821034,九龍城區,Kowloon City,*
238,文蔚樓,850,9411,22.307829999999999,114.167199999999994,3527918767T20050430,MAN WAI BUILDING,文蔚樓,0,29034.299999999999272,1814.900000000000091,30849.200000000000728,19,59,21290,0.3,0,2,0,0,0,835279,818767,油尖旺區,Yau Tsim Mong,***
239,紅棉大廈,423,10874,22.370790000000000,114.119470000000007,3035925743T20050430,KAPOK MANSION,紅棉大廈,0,5974.899999999999636,627.600000000000023,6602.500000000000000,14,60,15000,0.5,1,1,0,1,0,830359,825743,荃灣區,Tsuen Wan,**
240,南安大樓,400,7500,22.315349999999999,114.224819999999994,4120819597P20060311,NAM ON MANSION,南安大樓,0,2943.300000000000182,1458.200000000000045,4401.500000000000000,8,59,15300,0.5,0,2,0,1,0,841208,819597,觀塘區,Kwun Tong,***
241,龍翔大廈,715,11888,22.317060000000001,114.174639999999997,3603919782T20050430,LUNG CHEUNG BUILDING,龍翔大廈,0,4886.000000000000000,270.300000000000011,5156.300000000000182,17,60,45250,0.5,1,0,0,1,0,836039,819782,九龍城區,Kowloon City,*
242,萬基大廈,790,13291,22.319830000000000,114.176779999999994,3625820093T20050430,MAN KEE MANSION BLOCK A-D,萬基大廈Ａ－Ｄ座,0,13400.299999999999272,12040.399999999999636,25440.700000000000728,26,58,52210,0.8,0,0,0,1,0,836258,820093,九龍城區,Kowloon City,*
243,僑興大廈,544,11360,22.282769999999999,114.192639999999997,3791615984T20050430,KIU HING MANSION,僑興大廈,0,27749.799999999999272,6001.300000000000182,33751.099999999998545,27,59,46250,0.1,1,0,0,1,0,837896,815991,東區,Eastern,*
244,瓊林別墅 B座,741,12118,22.319700000000001,114.178089999999997,3639220076T20050430,KINGSLAND VILLA BLOCK A,瓊林別墅Ａ座,0,10522.899999999999636,1238.000000000000000,11760.899999999999636,18,58,52210,1.000000000000000,1,0,0,0,0,836392,820076,九龍城區,Kowloon City,*
245,僑宏大廈,970,12164,22.320080000000001,114.178079999999994,3639320123T20050430,KIU WANG MANSION BLOCK 1,僑宏大廈第一座,0,10442.299999999999272,1025.400000000000091,11467.700000000000728,18,58,52210,0.9,1,0,0,1,0,836393,820123,九龍城區,Kowloon City,*
246,大成大廈,820,13170,22.372900000000001,114.109999999999999,2938225970T20050430,EXCELSIOR BUILDING,大成大廈,0,0,44589.000000000000000,44589.000000000000000,26,43,11910,0.7,1,0,0,0,0,0,0,荃灣區,Tsuen Wan, 
247,月明樓,488,11270,22.314309999999999,114.228120000000004,4154819482T20050430,YUET MING BUILDING (BLOCK 1),月明樓第一座,0,7031.399999999999636,0,7031.399999999999636,13,50,27550,0.6,1,0,0,1,0,841548,819482,觀塘區,Kwun Tong,*
248,金橋華廈,410,8975,22.314840000000000,114.223370000000003,4105819550T20050430,CAMBRIDGE BUILDING,金僑華廈,0,16345.799999999999272,1131.299999999999955,17477.099999999998545,22,58,15300,0.4,1,2,0,1,0,841058,819550,觀塘區,Kwun Tong,***
249,喜利大廈,733,9536,22.297470000000001,114.171809999999994,3574717616T20050430,HARILELA MANSION,喜利大廈,0,4275.500000000000000,4315.000000000000000,8590.500000000000000,18,59,22000,0.05,1,1,0,1,0,835747,817616,油尖旺區,Yau Tsim Mong,**
250,界限大樓,525,8761,22.326020000000000,114.161050000000003,3464220773T20050430,BOUNDARY BUILDING,界限大樓,0,7949.899999999999636,705.700000000000045,8655.600000000000364,15,59,18920,0.5,1,0,0,1,0,834642,820773,油尖旺區,Yau Tsim Mong,*
251,香江大廈,960,10937,22.278359999999999,114.172970000000007,3586015493T20050430,HONG KONG BUILDING,香江大廈,0,3931.900000000000091,1436.500000000000000,5368.399999999999636,14,58,23600,0.05,1,0,0,1,0,835860,815493,灣仔區,Wan Chai,*
252,僑興大廈,453,10816,22.282769999999999,114.192639999999997,3791615984T20050430,KIU HING MANSION,僑興大廈,0,27749.799999999999272,6001.300000000000182,33751.099999999998545,27,59,46250,0.1,1,0,0,1,0,837896,815991,東區,Eastern,*
253,香港大廈,510,11372,22.280169999999998,114.185370000000006,3714915699T20050430,HONG KONG MANSION,香港大廈,0,18942.299999999999272,7897.699999999999818,26840.000000000000000,25,59,18800,0.05,1,2,0,1,0,837149,815699,灣仔區,Wan Chai,***
254,東南大廈,464,9698,22.243880000000001,114.154660000000007,3398011681T20050430,TUNG NAM BUILDING,東南大廈,40,1805.700000000000045,624.200000000000045,2429.900000000000091,13,44,41000,0.05,1,0,0,1,0,833980,811681,南區,Southern,*
255,京士頓大廈 B座,674,11721,22.281420000000001,114.185509999999994,3716415849T20050430,KINGSTON BUILDING BLOCK B,京士頓大廈B座,0,12617.500000000000000,3785.400000000000091,16402.900000000001455,18,58,30120,0.1,1,0,0,0,0,837164,815849,灣仔區,Wan Chai,*
256,德信園,651,12135,22.319230000000001,114.177369999999996,3631820024T20050430,WATERLOO HEIGHTS GARDEN,德信園,0,5058.800000000000182,2745.800000000000182,7804.600000000000364,21,59,52500,1.000000000000000,1,0,0,1,0,836318,820024,九龍城區,Kowloon City,*
257,景祥大樓,532,13533,22.268899999999999,114.185410000000005,3714214467T20050430,KING CHEUNG MANSION,景祥大樓,0,7131.899999999999636,1071.700000000000045,8203.600000000000364,12,59,41750,1.500000000000000,1,0,0,1,0,837142,814467,灣仔區,Wan Chai,*
258,先施西環大廈,476,12605,22.281400000000001,114.126670000000004,3106515835T20050430,SINCERE WESTERN HOUSE,先施西環大樓,0,12870.200000000000728,1292.500000000000000,14162.700000000000728,12,59,20000,0.1,1,1,0,1,0,831065,815835,中西區,Central and Western,**
259,僑宏大廈,840,11166,22.320080000000001,114.178079999999994,3639320123T20050430,KIU WANG MANSION BLOCK 1,僑宏大廈第一座,0,10442.299999999999272,1025.400000000000091,11467.700000000000728,18,58,52210,0.9,1,0,0,1,0,836393,820123,九龍城區,Kowloon City,*
260,京士頓大廈 A座,730,10273,22.281490000000002,114.185730000000007,3718115847T20050430,KINGSTON BUILDING BLOCK A,京士頓大廈A座,0,12617.500000000000000,3785.400000000000091,16402.900000000001455,18,58,30120,0.2,1,0,0,1,0,0,0,灣仔區,Wan Chai, 
261,長康大廈,706,12039,22.327490000000001,114.166809999999998,3523120940P20060311,CHEUNG HONG MANSION,長康大廈,84,2436.300000000000182,652.100000000000023,3088.400000000000091,15,43,18250,0.3,1,0,0,1,0,835232,820940,深水埗區,Sham Shui Po,*
262,錦屏樓 D座,545,8807,22.289220000000000,114.200450000000004,3869716702T20050430,KAM PING MANSION BLOCK D,錦屏樓D座,0,24710.299999999999272,2393.599999999999909,27103.900000000001455,15,59,13810,0.2,1,0,0,0,0,0,0,東區,Eastern, 
263,萬和花園大廈,680,10000,22.312760000000001,114.228539999999995,4158619324T20050430,MAN WO GARDEN MANSION,萬和花園大廈,0,17647.500000000000000,1486.400000000000091,19133.900000000001455,12,56,27550,0.5,1,0,0,1,0,841586,819324,觀塘區,Kwun Tong,*
264,僑興大廈,757,13077,22.282769999999999,114.192639999999997,3791615984T20050430,KIU HING MANSION,僑興大廈,0,27749.799999999999272,6001.300000000000182,33751.099999999998545,27,59,46250,0.1,1,0,0,1,0,837896,815991,東區,Eastern,*
265,修頓大廈,414,13526,22.276700000000002,114.171319999999994,3568715311T20050430,SOUTHORN MANSION,修頓大廈,0,4326.899999999999636,1113.900000000000091,5440.800000000000182,15,59,20800,0.2,1,0,0,0,0,835687,815311,灣仔區,Wan Chai,*
266,德星樓,667,11994,22.319019999999998,114.177560000000000,3634320005T20050430,EDWARD COURT,德星樓,0,5219.100000000000364,2025.200000000000045,7244.300000000000182,21,59,52500,1.000000000000000,1,0,0,1,0,836343,820005,九龍城區,Kowloon City,*
267,德星樓,667,11394,22.319019999999998,114.177560000000000,3634320005T20050430,EDWARD COURT,德星樓,0,5219.100000000000364,2025.200000000000045,7244.300000000000182,21,59,52500,1.000000000000000,1,0,0,1,0,836343,820005,九龍城區,Kowloon City,*
268,僑興大廈,853,12309,22.282769999999999,114.192639999999997,3791615984T20050430,KIU HING MANSION,僑興大廈,0,27749.799999999999272,6001.300000000000182,33751.099999999998545,27,59,46250,0.1,1,0,0,1,0,837896,815991,東區,Eastern,*
269,僑興大廈,879,11149,22.282769999999999,114.192639999999997,3791615984T20050430,KIU HING MANSION,僑興大廈,0,27749.799999999999272,6001.300000000000182,33751.099999999998545,27,59,46250,0.1,1,0,0,1,0,837896,815991,東區,Eastern,*
270,安興大廈,447,13422,22.275559999999999,114.171279999999996,3569415178T20050430,ON HING MANSION,安興大廈,0,4093.199999999999818,1495.299999999999955,5588.500000000000000,14,58,30800,0.3,1,0,0,1,0,835694,815178,灣仔區,Wan Chai,*
271,亞洲大廈,670,9402,22.283690000000000,114.157020000000003,3423016097T20050430,A I E BUILDING,亞洲大廈,0,0,1316.500000000000000,1316.500000000000000,17,48,31000,0.05,1,0,0,1,0,0,0,中西區,Central and Western, 
272,僑興大廈,465,18924,22.282769999999999,114.192639999999997,3791615984T20050430,KIU HING MANSION,僑興大廈,0,27749.799999999999272,6001.300000000000182,33751.099999999998545,27,59,46250,0.1,1,0,0,1,0,837896,815991,東區,Eastern,*
273,僑興大廈,880,13068,22.282769999999999,114.192639999999997,3791615984T20050430,KIU HING MANSION,僑興大廈,0,27749.799999999999272,6001.300000000000182,33751.099999999998545,27,59,46250,0.1,1,0,0,1,0,837896,815991,東區,Eastern,*
274,保如大廈,422,13270,22.279630000000001,114.179159999999996,3649815643T20050430,PAUL YEE MANSION,保如大廈,0,4162.699999999999818,1493.500000000000000,5656.199999999999818,16,59,29000,0.4,1,0,0,1,0,836498,815643,灣仔區,Wan Chai,*
275,香江大廈,516,10658,22.278359999999999,114.172970000000007,3586015493T20050430,HONG KONG BUILDING,香江大廈,0,3931.900000000000091,1436.500000000000000,5368.399999999999636,14,58,23600,0.05,1,0,0,1,0,835860,815493,灣仔區,Wan Chai,*
276,嘉景樓,606,15478,22.318999999999999,114.178280000000001,3641319999T20050430,CARRIE COURT,嘉景樓,0,4726.800000000000182,2088.599999999999909,6815.399999999999636,19,59,52500,1.500000000000000,1,0,0,1,0,836413,819999,九龍城區,Kowloon City,*
277,僑興大廈,781,12804,22.282769999999999,114.192639999999997,3791615984T20050430,KIU HING MANSION,僑興大廈,0,27749.799999999999272,6001.300000000000182,33751.099999999998545,27,59,46250,0.1,1,0,0,1,0,837896,815991,東區,Eastern,*
278,萬基大廈,790,9873,22.319830000000000,114.176779999999994,3625820093T20050430,MAN KEE MANSION BLOCK A-D,萬基大廈Ａ－Ｄ座,0,13400.299999999999272,12040.399999999999636,25440.700000000000728,26,58,52210,0.8,0,0,0,1,0,836258,820093,九龍城區,Kowloon City,*
279,長康大廈,690,15652,22.327490000000001,114.166809999999998,3523120940P20060311,CHEUNG HONG MANSION,長康大廈,84,2436.300000000000182,652.100000000000023,3088.400000000000091,15,43,18250,0.3,1,0,0,1,0,835232,820940,深水埗區,Sham Shui Po,*
280,萬基大廈,790,11392,22.319830000000000,114.176779999999994,3625820093T20050430,MAN KEE MANSION BLOCK A-D,萬基大廈Ａ－Ｄ座,0,13400.299999999999272,12040.399999999999636,25440.700000000000728,26,58,52210,0.8,0,0,0,1,0,836258,820093,九龍城區,Kowloon City,*
281,僑興大廈,658,13677,22.282769999999999,114.192639999999997,3791615984T20050430,KIU HING MANSION,僑興大廈,0,27749.799999999999272,6001.300000000000182,33751.099999999998545,27,59,46250,0.1,1,0,0,1,0,837896,815991,東區,Eastern,*
282,軒尼詩道459-465號,527,10436,22.279900000000001,114.182050000000004,3680515665T20050430,NO SPECIFIC NAME,沒有名稱,0,2991.400000000000091,507.199999999999989,3498.599999999999909,15,58,14200,0.05,1,2,0,1,0,836805,815665,灣仔區,Wan Chai,***
283,景祥大樓,420,10952,22.268899999999999,114.185410000000005,3714214467T20050430,KING CHEUNG MANSION,景祥大樓,0,7131.899999999999636,1071.700000000000045,8203.600000000000364,12,59,41750,1.500000000000000,1,0,0,1,0,837142,814467,灣仔區,Wan Chai,*
284,寶建大廈,745,10590,22.316939999999999,114.174490000000006,3602319770T20050430,GAY MANSION,寶建大廈,0,2066.800000000000182,532.899999999999977,2599.699999999999818,13,58,45250,0.5,1,0,0,1,0,836023,819770,九龍城區,Kowloon City,*
285,萬基大廈,790,12506,22.319830000000000,114.176779999999994,3625820093T20050430,MAN KEE MANSION BLOCK A-D,萬基大廈Ａ－Ｄ座,0,13400.299999999999272,12040.399999999999636,25440.700000000000728,26,58,52210,0.8,0,0,0,1,0,836258,820093,九龍城區,Kowloon City,*
286,嘉景樓,606,15511,22.318999999999999,114.178280000000001,3641319999T20050430,CARRIE COURT,嘉景樓,0,4726.800000000000182,2088.599999999999909,6815.399999999999636,19,59,52500,1.500000000000000,1,0,0,1,0,836413,819999,九龍城區,Kowloon City,*
287,僑興大廈,453,15011,22.282769999999999,114.192639999999997,3791615984T20050430,KIU HING MANSION,僑興大廈,0,27749.799999999999272,6001.300000000000182,33751.099999999998545,27,59,46250,0.1,1,0,0,1,0,837896,815991,東區,Eastern,*
288,協和大廈,450,10000,22.316510000000001,114.226079999999996,4133819724P20060311,HIP WO HOUSE,協和大廈,0,10538.600000000000364,1612.099999999999909,12150.700000000000728,21,58,16330,0.7,1,2,0,1,0,841334,819730,觀塘區,Kwun Tong,***
289,僑興大廈,559,12164,22.282769999999999,114.192639999999997,3791615984T20050430,KIU HING MANSION,僑興大廈,0,27749.799999999999272,6001.300000000000182,33751.099999999998545,27,59,46250,0.1,1,0,0,1,0,837896,815991,東區,Eastern,*
290,又一樓 D座,513,15594,22.332989999999999,114.174440000000004,3601521548T20050430,PARC OASIS TOWER 7,又一居第７座,0,62732.599999999998545,0,62732.599999999998545,12,32,69160,0.5,1,0,0,0,1,836015,821548,深水埗區,Sham Shui Po,*
291,利都樓,440,11090,22.289120000000000,114.193989999999999,3802816682T20050430,RIALTO MANSION,利都樓,0,10400.000000000000000,2724.699999999999818,13124.700000000000728,18,58,29000,0.05,1,0,0,1,0,838028,816682,東區,Eastern,*
292,濂風大廈,681,12481,22.277950000000001,114.174340000000001,3600715448T20050430,LINFOND MANSION,濂風大廈,0,5733.800000000000182,736.600000000000023,6470.399999999999636,16,59,16000,0.1,1,0,0,1,0,836007,815448,灣仔區,Wan Chai,*
293,友聯大廈,713,10098,22.311389999999999,114.224069999999998,4113019156T20050430,UNION BUILDING,友聯大廈,0,0,9243.500000000000000,9243.500000000000000,13,44,15000,0.6,1,0,0,0,0,0,0,觀塘區,Kwun Tong, 
294,瓊林別墅 A座,741,13495,22.319700000000001,114.178089999999997,3639220076T20050430,KINGSLAND VILLA BLOCK A,瓊林別墅Ａ座,0,10522.899999999999636,1238.000000000000000,11760.899999999999636,18,58,52210,1.000000000000000,1,0,0,0,0,836392,820076,九龍城區,Kowloon City,*
295,同興樓,473,12684,22.283230000000000,114.129819999999995,3142016030T20050430,TUNG HING MANSION,同興樓,0,4458.000000000000000,792.000000000000000,5250.000000000000000,9,58,37190,0.1,1,1,0,1,0,831420,816030,中西區,Central and Western,**
296,月明樓,529,12060,22.314309999999999,114.228120000000004,4154819482T20050430,YUET MING BUILDING (BLOCK 1),月明樓第一座,0,7031.399999999999636,0,7031.399999999999636,13,50,27550,0.6,1,0,0,1,0,841548,819482,觀塘區,Kwun Tong,*
297,金寶樓,616,9740,22.282290000000000,114.129310000000004,3137215935P20050620,KAM PO MANSION,金寶樓,0,646.399999999999977,301.899999999999977,948.299999999999955,6,46,21150,0.05,0,0,0,1,0,831359,815938,中西區,Central and Western,*
298,銀行大廈,491,14460,22.278479999999998,114.160529999999994,3457815511T20050430,CITIBANK TOWER,花旗銀行大廈,0,0,153828.000000000000000,153828.000000000000000,50,32,47290,0.5,1,0,0,0,0,0,0,中西區,Central and Western, 
299,明興大樓,708,8898,22.285850000000000,114.190920000000006,3771616319T20131104,MING HING BUILDING,明興大樓,0,3519.599999999999909,611.700000000000045,4131.300000000000182,13,59,32890,0.4,1,0,0,0,0,0,0,東區,Eastern, 
300,嘉景樓,606,14521,22.318999999999999,114.178280000000001,3641319999T20050430,CARRIE COURT,嘉景樓,0,4726.800000000000182,2088.599999999999909,6815.399999999999636,19,59,52500,1.500000000000000,1,0,0,1,0,836413,819999,九龍城區,Kowloon City,*
301,中和樓,438,10958,22.322320000000001,114.161469999999994,3467820367T20050430,CHUNG WO BUILDING,中和樓,0,19702.099999999998545,1403.200000000000045,21105.299999999999272,15,59,17630,0.5,1,2,0,1,0,834678,820367,油尖旺區,Yau Tsim Mong,***
302,青雲大廈,495,12121,22.290250000000000,114.197000000000003,3834216815P20060312,TSING WAN BUILDING,青雲大廈,0,4268.600000000000364,719.299999999999955,4987.899999999999636,23,58,26780,0.4,1,0,0,1,0,838337,816823,東區,Eastern,*
303,又一樓 C座,556,14388,22.332989999999999,114.174440000000004,3601521548T20050430,PARC OASIS TOWER 7,又一居第７座,0,62732.599999999998545,0,62732.599999999998545,12,32,69160,0.5,1,0,0,0,1,836015,821548,深水埗區,Sham Shui Po,*
304,明興大樓,708,14548,22.285850000000000,114.190920000000006,3771616319T20131104,MING HING BUILDING,明興大樓,0,3519.599999999999909,611.700000000000045,4131.300000000000182,13,59,32890,0.4,1,0,0,0,0,0,0,東區,Eastern, 
305,瓊林別墅 A座,741,13225,22.319700000000001,114.178089999999997,3639220076T20050430,KINGSLAND VILLA BLOCK A,瓊林別墅Ａ座,0,10522.899999999999636,1238.000000000000000,11760.899999999999636,18,58,52210,1.000000000000000,1,0,0,0,0,836392,820076,九龍城區,Kowloon City,*
306,德信園,635,15748,22.319230000000001,114.177369999999996,3631820024T20050430,WATERLOO HEIGHTS GARDEN,德信園,0,5058.800000000000182,2745.800000000000182,7804.600000000000364,21,59,52500,1.000000000000000,1,0,0,1,0,836318,820024,九龍城區,Kowloon City,*
307,僑興大廈,565,13274,22.282769999999999,114.192639999999997,3791615984T20050430,KIU HING MANSION,僑興大廈,0,27749.799999999999272,6001.300000000000182,33751.099999999998545,27,59,46250,0.1,1,0,0,1,0,837896,815991,東區,Eastern,*
308,萬高花園洋樓,860,9627,22.310549999999999,114.184539999999998,3705919065T20050430,MARIGOLD MANSION BLOCK A,萬高花園大廈Ａ座,0,10456.799999999999272,0,10456.799999999999272,20,58,28830,0.05,1,0,0,1,0,837059,819065,九龍城區,Kowloon City,*
309,明興大樓,520,12846,22.285850000000000,114.190920000000006,3771616319T20131104,MING HING BUILDING,明興大樓,0,3519.599999999999909,611.700000000000045,4131.300000000000182,13,59,32890,0.4,1,0,0,0,0,0,0,東區,Eastern, 
310,僑興大廈,519,13448,22.282769999999999,114.192639999999997,3791615984T20050430,KIU HING MANSION,僑興大廈,0,27749.799999999999272,6001.300000000000182,33751.099999999998545,27,59,46250,0.1,1,0,0,1,0,837896,815991,東區,Eastern,*
311,萬和花園大廈,550,9054,22.312760000000001,114.228539999999995,4158619324T20050430,MAN WO GARDEN MANSION,萬和花園大廈,0,17647.500000000000000,1486.400000000000091,19133.900000000001455,12,56,27550,0.5,1,0,0,1,0,841586,819324,觀塘區,Kwun Tong,*
312,順利大廈,531,11676,22.243729999999999,114.154300000000006,3394311657T20050430,SHUN LEE BUILDING,順利大廈,30,1181.200000000000045,647.500000000000000,1828.700000000000045,9,44,41000,0.1,0,0,0,1,0,833943,811657,南區,Southern,*
313,聯興新樓,410,15853,22.281639999999999,114.127899999999997,3122315851P20050617,LUEN HING APARTMENTS,聯興新樓,0,7164.500000000000000,2040.000000000000000,9204.500000000000000,18,58,25800,0.05,1,0,0,0,0,831218,815875,中西區,Central and Western,*
314,友聯大廈,839,9988,22.311389999999999,114.224069999999998,4113019156T20050430,UNION BUILDING,友聯大廈,0,0,9243.500000000000000,9243.500000000000000,13,44,15000,0.6,1,0,0,0,0,0,0,觀塘區,Kwun Tong, 
315,祥興大廈,408,7598,22.278189999999999,114.176630000000003,3624615482T20050430,CHONG HING BUILDING,祥興大廈,0,2780.000000000000000,354.699999999999989,3134.699999999999818,15,54,27950,0.4,1,0,0,1,0,836246,815482,灣仔區,Wan Chai,*
316,錦屏樓 D座,545,7431,22.289220000000000,114.200450000000004,3869716702T20050430,KAM PING MANSION BLOCK D,錦屏樓D座,0,24710.299999999999272,2393.599999999999909,27103.900000000001455,15,59,13810,0.2,1,0,0,0,0,0,0,東區,Eastern, 
317,太華樓,545,9266,22.324829999999999,114.171769999999995,3574220640T20050430,TAI WAH MANSION,太華樓,0,2635.000000000000000,210.000000000000000,2845.000000000000000,15,58,38750,0.3,1,0,0,0,0,835742,820640,油尖旺區,Yau Tsim Mong,*
318,渣甸大廈,521,10000,22.279810000000001,114.184970000000007,3709915657T20050430,KWONG ON BUILDING,廣安大廈,0,2579.000000000000000,1255.299999999999955,3834.300000000000182,16,59,34500,0.05,1,0,1,1,0,837099,815657,灣仔區,Wan Chai,*
319,萬基大廈,780,9615,22.319830000000000,114.176779999999994,3625820093T20050430,MAN KEE MANSION BLOCK A-D,萬基大廈Ａ－Ｄ座,0,13400.299999999999272,12040.399999999999636,25440.700000000000728,26,58,52210,0.8,0,0,0,1,0,836258,820093,九龍城區,Kowloon City,*
320,德信園,583,13722,22.319230000000001,114.177369999999996,3631820024T20050430,WATERLOO HEIGHTS GARDEN,德信園,0,5058.800000000000182,2745.800000000000182,7804.600000000000364,21,59,52500,1.000000000000000,1,0,0,1,0,836318,820024,九龍城區,Kowloon City,*
321,泰港大廈,556,13129,22.279630000000001,114.182649999999995,3685815649T20050430,THAI KONG BUILDING,泰港大廈,0,6039.399999999999636,2133.599999999999909,8173.000000000000000,23,58,14500,0.05,1,2,0,1,0,836858,815649,灣仔區,Wan Chai,***
322,利都樓,425,12941,22.289120000000000,114.193989999999999,3802816682T20050430,RIALTO MANSION,利都樓,0,10400.000000000000000,2724.699999999999818,13124.700000000000728,18,58,29000,0.05,1,0,0,1,0,838028,816682,東區,Eastern,*
323,僑興大廈,645,15317,22.282769999999999,114.192639999999997,3791615984T20050430,KIU HING MANSION,僑興大廈,0,27749.799999999999272,6001.300000000000182,33751.099999999998545,27,59,46250,0.1,1,0,0,1,0,837896,815991,東區,Eastern,*
324,長樂大廈,513,9122,22.330079999999999,114.162769999999995,3481621225T20050430,CHEONG LOK BUILDING,長樂大廈,0,6100.000000000000000,2260.400000000000091,8360.399999999999636,13,60,12460,0.05,1,2,1,1,0,834816,821225,深水埗區,Sham Shui Po,***
325,太子道西206-208號,874,10640,22.324990000000000,114.172830000000005,3585020664T20050430,NO SPECIFIC NAME,沒有名稱,0,2682.900000000000091,214.900000000000006,2897.800000000000182,15,58,38750,0.4,0,0,0,1,0,0,0,油尖旺區,Yau Tsim Mong, 
326,先施西環大廈,652,15030,22.281400000000001,114.126670000000004,3106515835T20050430,SINCERE WESTERN HOUSE,先施西環大樓,0,12870.200000000000728,1292.500000000000000,14162.700000000000728,12,59,20000,0.1,1,1,0,1,0,831065,815835,中西區,Central and Western,**
327,月明樓,645,10821,22.314309999999999,114.228120000000004,4154819482T20050430,YUET MING BUILDING (BLOCK 1),月明樓第一座,0,7031.399999999999636,0,7031.399999999999636,13,50,27550,0.6,1,0,0,1,0,841548,819482,觀塘區,Kwun Tong,*
328,錦屏樓 C座,424,8254,22.289390000000001,114.200360000000003,3868816720T20050430,KAM PING MANSION BLOCK C,錦屏樓C座,0,24710.299999999999272,2393.599999999999909,27103.900000000001455,15,59,13810,0.1,1,2,0,0,0,838688,816720,東區,Eastern,***
329,景祥大樓,570,14035,22.268899999999999,114.185410000000005,3714214467T20050430,KING CHEUNG MANSION,景祥大樓,0,7131.899999999999636,1071.700000000000045,8203.600000000000364,12,59,41750,1.500000000000000,1,0,0,1,0,837142,814467,灣仔區,Wan Chai,*
