OID_,SampleBuilding,Area,PerSqFeet,lat,long,CSU_ID,NAME_ENG,NAME_CHT,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND
1488,屏園,806,14640,22.331910000000001,114.174180000000007,3598721431T20050430,PING YUEN,屏園,15,1566.099999999999909,0,1566.099999999999909,4,47,86290,0.7,0,0,0,1,0,835987,821431,深水埗區,Sham Shui Po,*
1489,碧麗閣 B座,578,12975,22.279570000000000,114.224320000000006,4115915637T20091016,BELLEVE COURT BLOCK B,碧麗閣B座,300,9939.799999999999272,670.200000000000045,10610.000000000000000,27,36,30000,0.4,1,0,0,0,0,841159,815637,東區,Eastern,*
1490,碧麗閣 B座,753,14077,22.279570000000000,114.224320000000006,4115915637T20091016,BELLEVE COURT BLOCK B,碧麗閣B座,300,9939.799999999999272,670.200000000000045,10610.000000000000000,27,36,30000,0.4,1,0,0,0,0,841159,815637,東區,Eastern,*
1491,田華閣,552,13913,22.285139999999998,114.192430000000002,3786916258T20050430,TIMMAR COURT,田華閣,0,2598.000000000000000,1044.000000000000000,3642.000000000000000,24,47,23660,0.3,1,0,0,1,0,837869,816258,東區,Eastern,*
1492,碧麗閣 C座,657,12937,22.341850000000001,114.181590000000000,3675422531T20050430,PHOENIX COURT BLOCK C,碧麗閣Ｃ座,72,4822.899999999999636,0,4822.899999999999636,10,47,70000,0.9,1,0,0,0,0,836754,822531,九龍城區,Kowloon City,*
1493,太古城 高山台 怡山閣 (16座),685,13868,22.285280000000000,114.219399999999993,4065216260T20050430,TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1494,柴灣戲院大廈,441,9523,22.262670000000000,114.236500000000007,4241013752T20050430,CHAI WAN CINEMA BUILDING,柴灣戲院大廈,151,7626.800000000000182,4808.199999999999818,12435.000000000000000,28,46,23770,0.05,1,0,0,1,0,842410,813752,東區,Eastern,*
1495,富裕大廈,433,16050,22.316549999999999,114.216620000000006,4036319729P20060311,FOO YUE BUILDING,富裕大廈,152,5569.300000000000182,1614.500000000000000,7183.800000000000182,26,48,21250,0.2,1,0,0,1,0,840361,819731,觀塘區,Kwun Tong,*
1496,正大花園,672,14880,22.278860000000002,114.151799999999994,3368615561T20050430,JING TAI GARDEN MANSION,正大花園,80,6014.000000000000000,113.900000000000006,6127.899999999999636,27,46,84160,1.000000000000000,1,0,0,1,0,833686,815561,中西區,Central and Western,*
1497,碧麗閣 G座,620,12903,22.342070000000000,114.182190000000006,3681722555T20050430,PHOENIX COURT BLOCK G,碧麗閣Ｇ座,63,4019.800000000000182,0,4019.800000000000182,9,47,70000,0.9,1,0,0,0,0,836817,822555,九龍城區,Kowloon City,*
1498,嘉栢園,702,14529,22.343019999999999,114.182400000000001,3683722658T20050430,ROCKFORD MANSION,嘉栢園,90,6604.699999999999818,0,6604.699999999999818,7,46,94500,1.500000000000000,0,0,0,0,0,836837,822658,九龍城區,Kowloon City,*
1499,南豐新邨 5座,516,10465,22.281630000000000,114.213440000000006,4004415862T20050430,NAM FUNG SUN CHUEN BLOCK 5,南豐新邨第5座,0,11914.000000000000000,0,11914.000000000000000,29,47,33000,0.5,1,0,0,0,1,840044,815862,東區,Eastern,*
1500,南豐新邨 8座,570,12245,22.281569999999999,114.214659999999995,4016215863T20050430,NAM FUNG SUN CHUEN BLOCK 8,南豐新邨第8座,0,12118.000000000000000,0,12118.000000000000000,30,46,33000,0.6,1,0,0,0,1,840162,815863,東區,Eastern,*
1501,南豐新邨 1座,516,11240,22.283059999999999,114.213520000000003,4005216020T20050430,NAM FUNG SUN CHUEN BLOCK 1,南豐新邨第1座,0,13599.000000000000000,0,13599.000000000000000,35,47,33000,0.3,1,0,0,1,1,840052,816020,東區,Eastern,*
1502,金華大廈,413,10629,22.277830000000002,114.229240000000004,4166315448T20050430,WING WAH HOUSE,永華大廈,0,1516.000000000000000,257.300000000000011,1773.299999999999955,10,58,25000,0.05,1,0,0,1,0,841663,815448,東區,Eastern,*
1503,安寶樓,460,14956,22.325510000000001,114.167839999999998,3533720720P20060311,AMBER HOUSE,安寶樓,44,2124.900000000000091,1124.700000000000045,3249.599999999999909,14,46,20000,0.05,1,0,0,1,0,835337,820721,油尖旺區,Yau Tsim Mong,*
