OID_,PerSqFeet,Area,lat,lon,Building,NAME_ENG,NAME_CHT,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND,
7305,11944,653,22.391960000000001,113.980459999999994,愉景新城 1期 4座,VILLA TIARA BLOCK 2,怡峰園第２座,4/1/1997 0:00,556,37362.300000000002910,602.000000000000000,37964.300000000002910,15,27,50000,0.8,1,0,0,0,0,816041,828093,屯門區,Tuen Mun,*,
7306,15118,463,22.316839999999999,114.264930000000007,東港城 6座,EAST POINT CITY - PODIUM,東港城 - 平台,6/1/1997 0:00,2184,131075.000000000000000,58782.300000000002910,189857.299999999988358,3,27,55150,0.3,1,0,0,0,1,845314,819730,西貢區,Sai Kung,*,
7307,8555,526,22.423660000000002,114.225679999999997,怡峰園 2座,KAM WAI HOUSE,錦蕙閣,11/1/1996 0:00,1824,144394.000000000000000,1495.000000000000000,145889.000000000000000,39,28,27460,0.9,1,0,0,0,1,841292,831593,沙田區,Sha Tin,*,
7308,15291,463,22.391340000000000,113.980540000000005,東港城 7座,VILLA TIARA BLOCK 5,怡峰園第５座,4/1/1997 0:00,556,37362.300000000002910,602.000000000000000,37964.300000000002910,15,27,50000,0.7,1,0,0,0,0,816048,828024,屯門區,Tuen Mun,*,
7309,10556,431,22.375959999999999,114.111040000000003,錦豐苑 錦蕙閣 (C座),DISCOVERY PARK BLOCK 1,愉景新城第１座,4/1/1997 0:00,1120,71036.699999999997090,60826.099999999998545,131862.799999999988358,44,27,46830,0.7,1,0,0,0,1,829489,826305,荃灣區,Tsuen Wan,*,
7310,8845,667,22.424630000000001,114.227930000000001,怡峰園 5座,THE WATERSIDE - PODIUM,雅濤居 - 平台,7/1/1997 0:00,502,37910.800000000002910,7129.699999999999818,45040.500000000000000,2,27,56510,0.5,1,0,0,0,0,841521,831696,沙田區,Sha Tin,*,
7311,13333,675,22.401830000000000,114.203440000000001,愉景新城 1期 4座,ROYAL ASCOT - PODIUM,駿景園 - 平台,9/1/1995 0:00,0,134976.000000000000000,0,134976.000000000000000,2,29,48400,1.500000000000000,1,0,0,0,1,838841,828903,沙田區,Sha Tin,*,
7312,13934,488,22.424630000000001,114.227930000000001,雅濤居 1座,THE WATERSIDE - PODIUM,雅濤居 - 平台,7/1/1997 0:00,502,37910.800000000002910,7129.699999999999818,45040.500000000000000,2,27,56510,0.5,1,0,0,0,0,841521,831696,沙田區,Sha Tin,*,
7313,11068,1039,22.320770000000000,114.257120000000000,駿景園 2期 11座,METRO CITY PHASE 1 - PODIUM,新都城第一期 - 平台,12/1/1996 0:00,2048,111328.000000000000000,17394.799999999999272,128722.800000000002910,3,28,33600,0.2,1,0,0,0,1,844487,820190,西貢區,Sai Kung,*,
7314,12643,696,22.377929999999999,114.171059999999997,雅濤居 1座,GRANVILLE GARDEN - PODIUM,恆峰花園 - 平台,6/1/1997 0:00,666,53435.400000000001455,1202.400000000000091,54637.800000000002910,1,27,92750,1.500000000000000,1,0,0,1,0,835638,826473,沙田區,Sha Tin,*,
7315,13008,698,22.424630000000001,114.227930000000001,新都城 1期 5座,THE WATERSIDE - PODIUM,雅濤居 - 平台,7/1/1997 0:00,502,37910.800000000002910,7129.699999999999818,45040.500000000000000,2,27,56510,0.5,1,0,0,0,0,841521,831696,沙田區,Sha Tin,*,
7316,11265,861,22.322690000000001,114.255219999999994,恒峰花園 2座,VERBENA HEIGHTS BLOCK 6,茵怡花園第六座,11/1/1996 0:00,2865,141132.000000000000000,6076.000000000000000,147208.000000000000000,48,28,33600,0.3,1,0,0,0,1,844347,820415,西貢區,Sai Kung,*,
7317,13218,696,22.316680000000002,114.265760000000000,雅濤居 1座,EAST POINT CITY - PODIUM,東港城 - 平台,6/1/1997 0:00,2184,131075.000000000000000,58782.300000000002910,189857.299999999988358,3,27,55150,0.3,1,0,0,0,1,845314,819730,西貢區,Sai Kung,*,
7318,9656,495,22.315690000000000,114.265670000000000,茵怡花園 6座,EAST POINT CITY - PODIUM,東港城 - 平台,6/1/1997 0:00,2184,131075.000000000000000,58782.300000000002910,189857.299999999988358,3,27,55150,0.3,1,0,0,0,1,845314,819730,西貢區,Sai Kung,*,
7319,16412,524,22.316420000000001,114.266059999999996,東港城 5座,EAST POINT CITY - PODIUM,東港城 - 平台,6/1/1997 0:00,2184,131075.000000000000000,58782.300000000002910,189857.299999999988358,3,27,55150,0.3,1,0,0,0,1,845314,819730,西貢區,Sai Kung,*,
7320,13731,619,22.421859999999999,114.224800000000002,東港城 1座,KAM HUEN HOUSE,錦萱閣,4/1/1997 0:00,1824,143838.000000000000000,762.000000000000000,144600.000000000000000,39,27,27460,1.500000000000000,1,0,0,0,1,841202,831392,沙田區,Sha Tin,*,
7321,14592,466,22.377939999999999,114.171679999999995,東港城 3座,GRANVILLE GARDEN - PODIUM,恆峰花園 - 平台,6/1/1997 0:00,666,53435.400000000001455,1202.400000000000091,54637.800000000002910,1,27,92750,1.500000000000000,1,0,0,1,0,835638,826473,沙田區,Sha Tin,*,
7322,8655,647,22.321600000000000,114.257869999999997,錦豐苑 錦萱閣 (F座),METRO CITY PHASE 1 - PODIUM,新都城第一期 - 平台,12/1/1996 0:00,2048,111328.000000000000000,17394.799999999999272,128722.800000000002910,3,28,33600,0.2,1,0,0,0,1,844487,820190,西貢區,Sai Kung,*,
7323,13767,645,22.320180000000001,114.229810000000001,恒峰花園 3座,HIU ON HOUSE,曉安閣,2/1/1997 0:00,0,305748.000000000000000,1295.000000000000000,307043.000000000000000,39,28,27500,1.500000000000000,1,0,0,0,1,841722,820134,觀塘區,Kwun Tong,*,
7324,16159,526,22.323039999999999,114.255629999999996,新都城 1期 2座,VERBENA HEIGHTS BLOCK 4,茵怡花園第四座,11/1/1996 0:00,2865,141132.000000000000000,6076.000000000000000,147208.000000000000000,54,28,33600,0.2,1,0,0,0,1,844401,820442,西貢區,Sai Kung,*,
7325,10000,647,22.339890000000000,114.154089999999997,曉麗苑 曉安閣 (E座),FLORENCE PLAZA,富華廣場,7/1/1997 0:00,198,9300.100000000000364,2662.699999999999818,11962.799999999999272,37,27,23810,0.5,1,0,0,0,0,833922,822314,深水埗區,Sham Shui Po,*,
7326,12989,485,22.391340000000000,113.980540000000005,茵怡花園 5座,VILLA TIARA BLOCK 5,怡峰園第５座,4/1/1997 0:00,556,37362.300000000002910,602.000000000000000,37964.300000000002910,15,27,50000,0.7,1,0,0,0,0,816048,828024,屯門區,Tuen Mun,*,
7327,16201,537,22.315690000000000,114.265670000000000,富華廣場,EAST POINT CITY - PODIUM,東港城 - 平台,6/1/1997 0:00,2184,131075.000000000000000,58782.300000000002910,189857.299999999988358,3,27,55150,0.3,1,0,0,0,1,845314,819730,西貢區,Sai Kung,*,
7328,10194,667,22.321230000000000,114.257819999999995,怡峰園 5座,METRO CITY PHASE 1 - PODIUM,新都城第一期 - 平台,12/1/1996 0:00,2048,111328.000000000000000,17394.799999999999272,128722.800000000002910,3,28,33600,0.2,1,0,0,0,1,844487,820190,西貢區,Sai Kung,*,
7329,13322,623,22.276019999999999,114.193719999999999,東港城 1座,ROSEDALE,玫瑰花園,12/1/1988 0:00,12,2246.599999999999909,96.599999999999994,2343.199999999999818,13,36,90450,1.500000000000000,1,0,0,0,0,838002,815245,灣仔區,Wan Chai,*,
7330,13878,526,22.391960000000001,113.980459999999994,新都城 1期 3座,VILLA TIARA BLOCK 2,怡峰園第２座,4/1/1997 0:00,556,37362.300000000002910,602.000000000000000,37964.300000000002910,15,27,50000,0.8,1,0,0,0,0,816041,828093,屯門區,Tuen Mun,*,
7331,9174,654,22.316929999999999,114.265450000000001,玫瑰花園,EAST POINT CITY - PODIUM,東港城 - 平台,6/1/1997 0:00,2184,131075.000000000000000,58782.300000000002910,189857.299999999988358,3,27,55150,0.3,1,0,0,0,1,845314,819730,西貢區,Sai Kung,*,
7332,9666,660,22.316680000000002,114.265760000000000,怡峰園 2座,EAST POINT CITY - PODIUM,東港城 - 平台,6/1/1997 0:00,2184,131075.000000000000000,58782.300000000002910,189857.299999999988358,3,27,55150,0.3,1,0,0,0,1,845314,819730,西貢區,Sai Kung,*,
7333,14806,466,22.391130000000000,113.980320000000006,東港城 6座,VILLA TIARA BLOCK 6,怡峰園第６座,4/1/1997 0:00,556,37362.300000000002910,602.000000000000000,37964.300000000002910,15,27,50000,0.7,1,0,0,0,0,816028,828000,屯門區,Tuen Mun,*,
7334,13948,466,22.270250000000001,114.128069999999994,東港城 5座,CNT BISNEY,美琳園,11/1/1996 0:00,39,2341.800000000000182,0,2341.800000000000182,4,28,60000,2.000000000000000,1,0,0,1,0,831243,814585,南區,Southern,*,
7335,14616,561,22.375959999999999,114.111040000000003,美琳園,DISCOVERY PARK BLOCK 1,愉景新城第１座,4/1/1997 0:00,1120,71036.699999999997090,60826.099999999998545,131862.799999999988358,44,27,46830,0.7,1,0,0,0,1,829489,826305,荃灣區,Tsuen Wan,*,
7336,13613,404,22.319600000000001,114.229950000000002,盈利大廈,HIU YAT HOUSE,曉逸閣,2/1/1997 0:00,0,305748.000000000000000,1295.000000000000000,307043.000000000000000,39,28,27500,1.500000000000000,1,0,0,0,1,841736,820067,觀塘區,Kwun Tong,*,
7337,12740,675,22.320770000000000,114.257120000000000,愉景新城 1期 4座,METRO CITY PHASE 1 - PODIUM,新都城第一期 - 平台,12/1/1996 0:00,2048,111328.000000000000000,17394.799999999999272,128722.800000000002910,3,28,33600,0.2,1,0,0,0,1,844487,820190,西貢區,Sai Kung,*,
7338,11009,436,22.443180000000002,114.029169999999993,曉麗苑 曉逸閣 (F座),HOP YICK PLAZA,合益廣場,9/1/1997 0:00,128,12469.899999999999636,7851.600000000000364,20321.500000000000000,36,27,18500,0.2,1,0,0,1,0,821067,833758,元朗區,Yuen Long,*,
7339,12464,698,22.377929999999999,114.171059999999997,新都城 1期 5座,GRANVILLE GARDEN - PODIUM,恆峰花園 - 平台,6/1/1997 0:00,666,53435.400000000001455,1202.400000000000091,54637.800000000002910,1,27,92750,1.500000000000000,1,0,0,1,0,835638,826473,沙田區,Sha Tin,*,
7340,10869,828,22.391340000000000,113.980540000000005,合益廣場 A座,VILLA TIARA BLOCK 5,怡峰園第５座,4/1/1997 0:00,556,37362.300000000002910,602.000000000000000,37964.300000000002910,15,27,50000,0.7,1,0,0,0,0,816048,828024,屯門區,Tuen Mun,*,
7341,11614,861,22.321600000000000,114.257869999999997,恒峰花園 2座,METRO CITY PHASE 1 - PODIUM,新都城第一期 - 平台,12/1/1996 0:00,2048,111328.000000000000000,17394.799999999999272,128722.800000000002910,3,28,33600,0.2,1,0,0,0,1,844487,820190,西貢區,Sai Kung,*,
7342,9745,667,22.319600000000001,114.229950000000002,怡峰園 5座,HIU YAT HOUSE,曉逸閣,2/1/1997 0:00,0,305748.000000000000000,1295.000000000000000,307043.000000000000000,39,28,27500,1.500000000000000,1,0,0,0,1,841736,820067,觀塘區,Kwun Tong,*,
7343,17110,526,22.322800000000001,114.255690000000001,新都城 1期 2座,VERBENA HEIGHTS BLOCK 5,茵怡花園第五座,11/1/1996 0:00,2865,141132.000000000000000,6076.000000000000000,147208.000000000000000,54,28,33600,0.2,1,0,0,0,1,844383,820429,西貢區,Sai Kung,*,
7344,12155,436,22.316680000000002,114.265760000000000,曉麗苑 曉逸閣 (F座),EAST POINT CITY - PODIUM,東港城 - 平台,6/1/1997 0:00,2184,131075.000000000000000,58782.300000000002910,189857.299999999988358,3,27,55150,0.3,1,0,0,0,1,845314,819730,西貢區,Sai Kung,*,
7345,11150,565,22.319479999999999,114.229420000000005,茵怡花園 4座,HIU WO HOUSE,曉和閣,2/1/1997 0:00,0,305748.000000000000000,1295.000000000000000,307043.000000000000000,39,28,27500,1.500000000000000,1,0,0,0,1,841681,820055,觀塘區,Kwun Tong,*,
7346,12987,616,22.422310000000000,114.224990000000005,東港城 5座,KAM KWAI HOUSE,錦葵閣,4/1/1997 0:00,1824,143838.000000000000000,762.000000000000000,144600.000000000000000,39,27,27460,1.500000000000000,1,0,0,0,1,841221,831442,沙田區,Sha Tin,*,
7347,7788,642,22.322790000000001,114.256420000000006,曉麗苑 曉和閣 (G座),THE METROPOLIS - PODIUM,都會豪庭 - 平台,11/1/1999 0:00,1376,81588.100000000005821,26004.599999999998545,107592.699999999997090,5,25,33600,0.05,1,0,0,0,1,844462,820417,西貢區,Sai Kung,*,
7348,9022,532,22.285840000000000,113.942700000000002,錦豐苑 錦葵閣 (E座),HEUNG TUNG HOUSE,向東閣,7/1/1997 0:00,0,204947.000000000000000,3539.500000000000000,208486.500000000000000,39,27,38750,0.5,1,0,0,1,1,812134,816346,離島區,Islands,*,
7349,16666,420,22.424109999999999,114.225949999999997,新都城 1期 1座,KAM LING HOUSE,錦豐苑Ｂ座,11/1/1996 0:00,1824,144394.000000000000000,1495.000000000000000,145889.000000000000000,39,28,27460,0.6,1,0,0,0,1,841318,831639,沙田區,Sha Tin,*,
7350,9764,594,22.315690000000000,114.265670000000000,裕東苑 向東閣 (A座),EAST POINT CITY - PODIUM,東港城 - 平台,6/1/1997 0:00,2184,131075.000000000000000,58782.300000000002910,189857.299999999988358,3,27,55150,0.3,1,0,0,0,1,845314,819730,西貢區,Sai Kung,*,
7351,7407,540,22.320979999999999,114.257450000000006,錦豐苑 錦菱閣 (B座),METRO CITY PHASE 1 - PODIUM,新都城第一期 - 平台,12/1/1996 0:00,2048,111328.000000000000000,17394.799999999999272,128722.800000000002910,3,28,33600,0.2,1,0,0,0,1,844487,820190,西貢區,Sai Kung,*,
7352,18358,463,22.391130000000000,113.980320000000006,東港城 1座,VILLA TIARA BLOCK 6,怡峰園第６座,4/1/1997 0:00,556,37362.300000000002910,602.000000000000000,37964.300000000002910,15,27,50000,0.7,1,0,0,0,0,816028,828000,屯門區,Tuen Mun,*,
7353,13980,701,22.443180000000002,114.029169999999993,新都城 1期 4座,HOP YICK PLAZA,合益廣場,9/1/1997 0:00,128,12469.899999999999636,7851.600000000000364,20321.500000000000000,36,27,18500,0.2,1,0,0,1,0,821067,833758,元朗區,Yuen Long,*,
7354,10456,526,22.421859999999999,114.224800000000002,怡峰園 6座,KAM HUEN HOUSE,錦萱閣,4/1/1997 0:00,1824,143838.000000000000000,762.000000000000000,144600.000000000000000,39,27,27460,1.500000000000000,1,0,0,0,1,841202,831392,沙田區,Sha Tin,*,
7355,12681,828,22.320699999999999,114.256649999999993,合益廣場 A座,METRO CITY PHASE 1 - PODIUM,新都城第一期 - 平台,12/1/1996 0:00,2048,111328.000000000000000,17394.799999999999272,128722.800000000002910,3,28,33600,0.2,1,0,0,0,1,844487,820190,西貢區,Sai Kung,*,
7356,8940,604,22.334920000000000,114.213040000000007,錦豐苑 錦萱閣 (F座),CHOI FUNG COURT,彩峰苑,7/1/1997 0:00,0,38527.500000000000000,1248.500000000000000,39776.000000000000000,39,27,22250,0.5,1,0,0,1,0,839994,821764,黃大仙區,Wong Tai Sin,*,
7357,17680,526,22.334920000000000,114.213040000000007,新都城 1期 6座,CHOI FUNG COURT,彩峰苑,7/1/1997 0:00,0,38527.500000000000000,1248.500000000000000,39776.000000000000000,39,27,22250,0.5,1,0,0,1,0,839994,821764,黃大仙區,Wong Tai Sin,*,
7358,8411,535,22.265000000000001,114.248699999999999,彩峰苑,HARMONY GARDEN BLOCK 7,富欣花園第７座,3/1/1997 0:00,2340,136469.000000000000000,5375.199999999999818,141844.200000000011642,33,28,37160,1.500000000000000,1,0,0,0,1,843672,814022,東區,Eastern,*,
7359,9833,539,22.391340000000000,113.980540000000005,彩峰苑,VILLA TIARA BLOCK 5,怡峰園第５座,4/1/1997 0:00,556,37362.300000000002910,602.000000000000000,37964.300000000002910,15,27,50000,0.7,1,0,0,0,0,816048,828024,屯門區,Tuen Mun,*,
7360,8352,431,22.322120000000002,114.256039999999999,富欣花園 7座,VERBENA HEIGHTS - PODIUM,茵怡花園 - 平台,11/1/1996 0:00,2865,141132.000000000000000,6076.000000000000000,147208.000000000000000,3,28,33600,0.3,1,0,0,1,1,844397,820325,西貢區,Sai Kung,*,
7361,10944,667,22.423660000000002,114.225679999999997,怡峰園 5座,KAM WAI HOUSE,錦蕙閣,11/1/1996 0:00,1824,144394.000000000000000,1495.000000000000000,145889.000000000000000,39,28,27460,0.9,1,0,0,0,1,841292,831593,沙田區,Sha Tin,*,
7362,9068,483,22.276019999999999,114.193719999999999,茵怡花園 2座,ROSEDALE,玫瑰花園,12/1/1988 0:00,12,2246.599999999999909,96.599999999999994,2343.199999999999818,13,36,90450,1.500000000000000,1,0,0,0,0,838002,815245,灣仔區,Wan Chai,*,
7363,9280,431,22.315980000000000,114.265950000000004,錦豐苑 錦蕙閣 (C座),EAST POINT CITY - PODIUM,東港城 - 平台,6/1/1997 0:00,2184,131075.000000000000000,58782.300000000002910,189857.299999999988358,3,27,55150,0.3,1,0,0,0,1,845314,819730,西貢區,Sai Kung,*,
7364,10040,498,22.423660000000002,114.225679999999997,玫瑰花園,KAM WAI HOUSE,錦蕙閣,11/1/1996 0:00,1824,144394.000000000000000,1495.000000000000000,145889.000000000000000,39,28,27460,0.9,1,0,0,0,1,841292,831593,沙田區,Sha Tin,*,
7365,12924,619,22.423660000000002,114.225679999999997,東港城 2座,KAM WAI HOUSE,錦蕙閣,11/1/1996 0:00,1824,144394.000000000000000,1495.000000000000000,145889.000000000000000,39,28,27460,0.9,1,0,0,0,1,841292,831593,沙田區,Sha Tin,*,
7366,12244,637,22.401830000000000,114.203440000000001,錦豐苑 錦蕙閣 (C座),ROYAL ASCOT - PODIUM,駿景園 - 平台,9/1/1995 0:00,0,134976.000000000000000,0,134976.000000000000000,2,29,48400,1.500000000000000,1,0,0,0,1,838841,828903,沙田區,Sha Tin,*,
7367,7496,647,22.424109999999999,114.225949999999997,錦豐苑 錦蕙閣 (C座),KAM LING HOUSE,錦豐苑Ｂ座,11/1/1996 0:00,1824,144394.000000000000000,1495.000000000000000,145889.000000000000000,39,28,27460,0.6,1,0,0,0,1,841318,831639,沙田區,Sha Tin,*,
7368,10574,974,22.424530000000001,114.226200000000006,駿景園 2期 10座,KAM YUNG HOUSE,錦蓉閣,11/1/1996 0:00,1824,144394.000000000000000,1495.000000000000000,145889.000000000000000,39,28,27460,0.6,1,0,0,1,1,841346,831687,沙田區,Sha Tin,*,
7369,10634,536,22.424630000000001,114.227930000000001,錦豐苑 錦菱閣 (B座),THE WATERSIDE - PODIUM,雅濤居 - 平台,7/1/1997 0:00,502,37910.800000000002910,7129.699999999999818,45040.500000000000000,2,27,56510,0.5,1,0,0,0,0,841521,831696,沙田區,Sha Tin,*,
7370,7969,596,22.300899999999999,114.174890000000005,錦豐苑 錦蓉閣 (A座),KIMBRY COURT,金碧閣,1/1/1965 0:00,0,1168.799999999999955,525.899999999999977,1694.700000000000045,10,60,15630,0.4,1,1,0,1,0,836064,817993,油尖旺區,Yau Tsim Mong,**,
7371,12931,696,22.439440000000001,114.017340000000004,雅濤居 1座,PARKSIDE VILLA,柏麗豪園,5/1/1997 0:00,350,31626.799999999999272,1133.599999999999909,32760.400000000001455,12,27,47000,0.9,1,0,0,0,0,819838,833347,元朗區,Yuen Long,*,
7372,23185,496,22.276019999999999,114.193719999999999,金碧閣,ROSEDALE,玫瑰花園,12/1/1988 0:00,12,2246.599999999999909,96.599999999999994,2343.199999999999818,13,36,90450,1.500000000000000,1,0,0,0,0,838002,815245,灣仔區,Wan Chai,*,
7373,7755,851,22.424109999999999,114.225949999999997,柏麗豪園 5座,KAM LING HOUSE,錦豐苑Ｂ座,11/1/1996 0:00,1824,144394.000000000000000,1495.000000000000000,145889.000000000000000,39,28,27460,0.6,1,0,0,0,1,841318,831639,沙田區,Sha Tin,*,
7374,8835,498,22.423660000000002,114.225679999999997,玫瑰花園,KAM WAI HOUSE,錦蕙閣,11/1/1996 0:00,1824,144394.000000000000000,1495.000000000000000,145889.000000000000000,39,28,27460,0.9,1,0,0,0,1,841292,831593,沙田區,Sha Tin,*,
7375,8278,604,22.424530000000001,114.226200000000006,錦豐苑 錦菱閣 (B座),KAM YUNG HOUSE,錦蓉閣,11/1/1996 0:00,1824,144394.000000000000000,1495.000000000000000,145889.000000000000000,39,28,27460,0.6,1,0,0,1,1,841346,831687,沙田區,Sha Tin,*,
7376,8195,604,22.319070000000000,114.230080000000001,錦豐苑 錦蕙閣 (C座),HIU SHUN HOUSE,曉順閣,2/1/1997 0:00,0,305748.000000000000000,1295.000000000000000,307043.000000000000000,39,28,27500,1.500000000000000,1,0,0,0,1,841750,820010,觀塘區,Kwun Tong,*,
7377,7930,604,22.424530000000001,114.226200000000006,錦豐苑 錦蓉閣 (A座),KAM YUNG HOUSE,錦蓉閣,11/1/1996 0:00,1824,144394.000000000000000,1495.000000000000000,145889.000000000000000,39,28,27460,0.6,1,0,0,1,1,841346,831687,沙田區,Sha Tin,*,
7378,10518,540,22.391130000000000,113.980320000000006,曉麗苑 曉順閣 (H座),VILLA TIARA BLOCK 6,怡峰園第６座,4/1/1997 0:00,556,37362.300000000002910,602.000000000000000,37964.300000000002910,15,27,50000,0.7,1,0,0,0,0,816028,828000,屯門區,Tuen Mun,*,
7379,10740,540,22.276019999999999,114.193719999999999,錦豐苑 錦蓉閣 (A座),ROSEDALE,玫瑰花園,12/1/1988 0:00,12,2246.599999999999909,96.599999999999994,2343.199999999999818,13,36,90450,1.500000000000000,1,0,0,0,0,838002,815245,灣仔區,Wan Chai,*,
7380,8327,526,22.439370000000000,114.016980000000004,怡峰園 6座,PARKSIDE VILLA,柏麗豪園,5/1/1997 0:00,350,31626.799999999999272,1133.599999999999909,32760.400000000001455,12,27,47000,0.9,1,0,0,0,0,819802,833341,元朗區,Yuen Long,*,
7381,10213,421,22.421859999999999,114.224800000000002,玫瑰花園,KAM HUEN HOUSE,錦萱閣,4/1/1997 0:00,1824,143838.000000000000000,762.000000000000000,144600.000000000000000,39,27,27460,1.500000000000000,1,0,0,0,1,841202,831392,沙田區,Sha Tin,*,
7382,8305,590,22.439370000000000,114.016980000000004,柏麗豪園 3座,PARKSIDE VILLA,柏麗豪園,5/1/1997 0:00,350,31626.799999999999272,1133.599999999999909,32760.400000000001455,12,27,47000,0.9,1,0,0,0,0,819802,833341,元朗區,Yuen Long,*,
7383,8609,604,22.439370000000000,114.016980000000004,錦豐苑 錦萱閣 (F座),PARKSIDE VILLA,柏麗豪園,5/1/1997 0:00,350,31626.799999999999272,1133.599999999999909,32760.400000000001455,12,27,47000,0.9,1,0,0,0,0,819802,833341,元朗區,Yuen Long,*,
7384,9067,590,22.401859999999999,113.974639999999994,柏麗豪園 3座,CHELSEA HEIGHTS BLOCK 2,卓爾居第２座,7/1/1998 0:00,792,50176.000000000000000,5651.500000000000000,55827.500000000000000,38,26,45450,0.05,1,0,0,0,1,815444,829190,屯門區,Tuen Mun,*,
7385,8580,944,22.420300000000001,114.224100000000007,柏麗豪園 3座,VISTA PARADISO - PODIUM,聽濤雅苑 - 平台,7/1/1998 0:00,1012,85885.600000000005821,9383.700000000000728,95269.300000000002910,2,26,67200,1.000000000000000,1,0,0,1,1,841102,831089,沙田區,Sha Tin,*,
7386,9393,511,22.420300000000001,114.224100000000007,卓爾居 1期 2座,VISTA PARADISO - PODIUM,聽濤雅苑 - 平台,7/1/1998 0:00,1012,85885.600000000005821,9383.700000000000728,95269.300000000002910,2,26,67200,1.000000000000000,1,0,0,1,1,841102,831089,沙田區,Sha Tin,*,
7387,11167,788,22.439119999999999,114.033310000000000,聽濤雅苑 1期 9座,GRAND DEL SOL,朗睛居,12/1/1997 0:00,1101,79340.899999999994179,1929.500000000000000,81270.399999999994179,13,27,46210,0.8,1,0,0,0,1,821487,833315,元朗區,Yuen Long,*,
7388,10453,794,22.439360000000001,114.034070000000000,聽濤雅苑 1期 11座,GRAND DEL SOL,朗睛居,12/1/1997 0:00,1101,79340.899999999994179,1929.500000000000000,81270.399999999994179,12,27,46210,0.9,1,0,0,0,1,821558,833337,元朗區,Yuen Long,*,
7389,9201,739,22.420510000000000,114.232730000000004,朗晴居 10座,PARK BELVEDERE - PODIUM,雅景臺 - 平台,5/1/1998 0:00,882,57487.000000000000000,3235.800000000000182,60722.800000000002910,4,26,46500,0.9,1,0,0,1,0,842020,831242,沙田區,Sha Tin,*,
7390,10137,580,22.340990000000001,114.202529999999996,朗晴居 6座,GALAXIA TOWER B,星河明居Ｂ座,3/1/1998 0:00,1684,107668.000000000000000,0,107668.000000000000000,45,27,55200,0.4,1,0,0,0,1,838912,822436,黃大仙區,Wong Tai Sin,*,
7391,10631,475,22.439889999999998,114.032910000000001,雅景臺 2座,GRAND DEL SOL,朗睛居,12/1/1997 0:00,1101,79340.899999999994179,1929.500000000000000,81270.399999999994179,12,27,46210,0.7,1,0,0,0,1,821451,833395,元朗區,Yuen Long,*,
7392,16020,593,22.376460000000002,114.111040000000003,星河明居 B座,DISCOVERY PARK BLOCK 3,愉景新城第３座,4/1/1997 0:00,1120,71036.699999999997090,60826.099999999998545,131862.799999999988358,44,27,46830,0.7,1,0,0,0,1,829485,826359,荃灣區,Tsuen Wan,*,
7393,9472,739,22.376190000000001,114.111059999999995,朗晴居 13座,DISCOVERY PARK BLOCK 2,愉景新城第２座,4/1/1997 0:00,1120,71036.699999999997090,60826.099999999998545,131862.799999999988358,44,27,46830,0.7,1,0,0,0,1,829486,826329,荃灣區,Tsuen Wan,*,
7394,12738,493,22.376460000000002,114.111040000000003,愉景新城 3期 10座,DISCOVERY PARK BLOCK 3,愉景新城第３座,4/1/1997 0:00,1120,71036.699999999997090,60826.099999999998545,131862.799999999988358,44,27,46830,0.7,1,0,0,0,1,829485,826359,荃灣區,Tsuen Wan,*,
7395,11608,659,22.376460000000002,114.111040000000003,愉景新城 2期 8座,DISCOVERY PARK BLOCK 3,愉景新城第３座,4/1/1997 0:00,1120,71036.699999999997090,60826.099999999998545,131862.799999999988358,44,27,46830,0.7,1,0,0,0,1,829485,826359,荃灣區,Tsuen Wan,*,
7396,14723,652,22.376190000000001,114.111059999999995,愉景新城 3期 9座,DISCOVERY PARK BLOCK 2,愉景新城第２座,4/1/1997 0:00,1120,71036.699999999997090,60826.099999999998545,131862.799999999988358,44,27,46830,0.7,1,0,0,0,1,829486,826329,荃灣區,Tsuen Wan,*,
7397,12127,658,22.420300000000001,114.224100000000007,愉景新城 3期 10座,VISTA PARADISO - PODIUM,聽濤雅苑 - 平台,7/1/1998 0:00,1012,85885.600000000005821,9383.700000000000728,95269.300000000002910,2,26,67200,1.000000000000000,1,0,0,1,1,841102,831089,沙田區,Sha Tin,*,
7398,13402,485,22.376460000000002,114.111040000000003,愉景新城 2期 6座,DISCOVERY PARK BLOCK 3,愉景新城第３座,4/1/1997 0:00,1120,71036.699999999997090,60826.099999999998545,131862.799999999988358,44,27,46830,0.7,1,0,0,0,1,829485,826359,荃灣區,Tsuen Wan,*,
7399,10546,787,22.461300000000001,114.006290000000007,聽濤雅苑 1期 11座,KINGSWOOD VILLAS-MAYWOOD COURT,嘉湖山莊美湖居,12/1/1997 0:00,0,149667.000000000000000,251.300000000000011,149918.299999999988358,37,27,27250,0.5,1,0,0,0,1,818701,835767,元朗區,Yuen Long,*,
7400,12917,658,22.376190000000001,114.111059999999995,愉景新城 3期 10座,DISCOVERY PARK BLOCK 2,愉景新城第２座,4/1/1997 0:00,1120,71036.699999999997090,60826.099999999998545,131862.799999999988358,44,27,46830,0.7,1,0,0,0,1,829486,826329,荃灣區,Tsuen Wan,*,
