OID_,PerSqFeet,Area,lat,lon,Building,NAME_ENG,NAME_CHT,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND,
36,12313,843,22.329239999999999,114.162989999999994,華登大廈 C-D座,WAH TANG BUILDING,華登大廈,1/1/1968 0:00,0,2544.699999999999818,606.500000000000000,3151.199999999999818,14,57,17550,0.05,1,1,1,1,0,834838,821132,深水埗區,Sham Shui Po,**,
37,12325,688,22.280860000000001,114.185059999999993,百德大廈 D座,PATERSON BUILDING BLOCK D,百德大廈D座,12/1/1959 0:00,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,0,0,0,0,0,837113,815774,灣仔區,Wan Chai,*,
38,14687,817,22.280860000000001,114.185059999999993,百德大廈 D座,PATERSON BUILDING BLOCK D,百德大廈D座,12/1/1959 0:00,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,0,0,0,0,0,837113,815774,灣仔區,Wan Chai,*,
39,8803,886,22.320010000000000,114.176240000000007,帝國大廈,IMPERIAL COURT,帝國大廈,6/1/1960 0:00,0,10453.200000000000728,471.199999999999989,10924.399999999999636,14,64,30000,0.7,1,0,0,1,0,836205,820113,九龍城區,Kowloon City,*,
40,15519,741,22.281169999999999,114.184950000000001,百德大廈 B座,PATERSON BUILDING BLOCK B,百德大廈B座,12/1/1959 0:00,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,0,0,0,0,0,837098,815814,灣仔區,Wan Chai,*,
41,10045,886,22.320010000000000,114.176240000000007,帝國大廈,IMPERIAL COURT,帝國大廈,6/1/1960 0:00,0,10453.200000000000728,471.199999999999989,10924.399999999999636,14,64,30000,0.7,1,0,0,1,0,836205,820113,九龍城區,Kowloon City,*,
42,13052,498,22.281260000000000,114.185130000000001,百德大廈 A座,PATERSON BUILDING BLOCK A,百德大廈A座,12/1/1959 0:00,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,1,0,0,0,0,837119,815819,灣仔區,Wan Chai,*,
43,12226,548,22.279769999999999,114.183019999999999,軒尼詩大廈,HENNESSY APARTMENTS,軒尼詩大廈,8/1/1960 0:00,0,11840.000000000000000,3186.000000000000000,15026.000000000000000,20,64,34500,0.05,1,0,1,1,0,836887,815653,灣仔區,Wan Chai,*,
44,8408,509,22.330449999999999,114.166250000000005,東廬大樓 A座,TUNG LO COURT BLOCK A,東廬大樓Ａ座,8/1/1960 0:00,0,19107.299999999999272,1696.799999999999955,20804.099999999998545,12,64,28430,0.3,0,2,0,1,0,835177,821256,深水埗區,Sham Shui Po,***,
45,9643,1037,22.320010000000000,114.176240000000007,帝國大廈,IMPERIAL COURT,帝國大廈,6/1/1960 0:00,0,10453.200000000000728,471.199999999999989,10924.399999999999636,14,64,30000,0.7,1,0,0,1,0,836205,820113,九龍城區,Kowloon City,*,
