OID_,PerSqFeet,Area,lat,lon,Building,NAME_ENG,NAME_CHT,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND
1400,13665,401,22.306529999999999,114.188820000000007,黃埔新邨 佳榮樓 (N座),KAI WING BUILDING,佳榮樓,8/1/1977 0:00,798,35508.699999999997090,2316.699999999999818,37825.400000000001455,16,47,29000,0.05,0,0,0,1,1,837498,818616,九龍城區,Kowloon City,*
1401,19182,563,22.267399999999999,114.184010000000001,山勝大廈,SHAN SHING BUILDING,山勝大廈,1/1/1977 0:00,48,3321.599999999999909,0,3321.599999999999909,27,48,56640,2.000000000000000,1,0,0,1,0,836999,814288,灣仔區,Wan Chai,*
1402,9044,429,22.277490000000000,114.229870000000005,好景樓,HO KING BUILDING,好景樓,10/1/1979 0:00,60,2288.599999999999909,910.299999999999955,3198.900000000000091,22,45,32100,0.2,1,0,0,0,0,841728,815405,東區,Eastern,*
1403,17374,518,22.285280000000000,114.219399999999993,太古城 高山台 廬山閣 (9座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1404,14824,742,22.289880000000000,114.198130000000006,景興閣,KINGS COURT,景興閣,8/1/1993 0:00,78,4331.800000000000182,433.000000000000000,4764.800000000000182,29,31,40500,0.4,1,0,0,1,0,838454,816781,東區,Eastern,*
1405,18900,582,22.285280000000000,114.219399999999993,太古城 高山台 泰山閣 (8座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1406,14224,580,22.284330000000001,114.221000000000004,太古城 翠湖台 洞庭閣 (1座),TUNG TING MANSION,洞庭閣,12/1/1976 0:00,0,15351.799999999999272,20.000000000000000,15371.799999999999272,28,48,47210,0.3,1,0,0,0,1,840811,816168,東區,Eastern,*
1407,13101,748,22.337679999999999,114.139060000000001,美孚新邨 7期 萬事達廣場5-7號,MEI FOO SUN CHUEN STAGE VII,美孚新邨第七期,9/1/1976 0:00,130,10215.700000000000728,0,10215.700000000000728,20,48,42000,0.05,1,0,0,0,1,832372,822067,深水埗區,Sham Shui Po,*
1408,13230,907,22.338030000000000,114.138229999999993,美孚新邨 7期 荔灣道14-16號,MEI FOO SUN CHUEN STAGE VII,美孚新邨第七期,3/1/1977 0:00,108,9767.700000000000728,0,9767.700000000000728,20,48,42000,0.05,1,0,0,0,1,832285,822108,深水埗區,Sham Shui Po,*
1409,19775,445,22.341670000000001,114.181960000000004,百美花園 C座,FABER GARDEN,百美花園,3/1/1977 0:00,84,4967.500000000000000,0,4967.500000000000000,9,48,70000,0.9,1,0,0,1,0,836791,822509,九龍城區,Kowloon City,*
1410,16178,649,22.322620000000001,114.181240000000003,寶雲閣 1座,BALWIN COURT BLOCK 1,寶雲閣第一座,12/1/1976 0:00,290,34897.000000000000000,0,34897.000000000000000,16,48,87000,1.500000000000000,0,0,0,0,0,836720,820396,九龍城區,Kowloon City,*
1411,10714,532,22.341940000000001,114.136110000000002,荔灣花園 D座,LAI CHI KOK BAY GARDEN BLOCK C,荔灣花園Ｃ座,8/1/1977 0:00,600,30182.700000000000728,7361.199999999999818,37543.900000000001455,20,47,33050,0.4,1,0,0,0,0,832069,822542,葵青區,Kwai Tsing,*
1412,13978,465,22.291699999999999,114.205230000000000,怡景大廈,ELEGANCE HOUSE BLOCK C,怡景大廈C座,2/1/1961 0:00,0,12854.399999999999636,0,12854.399999999999636,13,64,44870,0.3,0,0,0,0,0,839190,816977,東區,Eastern,*
1413,13057,435,22.341940000000001,114.136110000000002,荔灣花園 A座,LAI CHI KOK BAY GARDEN BLOCK C,荔灣花園Ｃ座,8/1/1977 0:00,600,30182.700000000000728,7361.199999999999818,37543.900000000001455,20,47,33050,0.4,1,0,0,0,0,832069,822542,葵青區,Kwai Tsing,*
1414,10472,487,22.449280000000002,114.166100000000000,美德大廈,MEI TAK BUILDING - PODIUM,美德大廈 - 平台,5/1/1977 0:00,0,8861.500000000000000,4320.100000000000364,13181.600000000000364,3,47,14590,1.000000000000000,1,0,1,0,0,835155,834422,大埔區,Tai Po,*
1415,16274,467,22.337569999999999,114.139340000000004,美孚新邨 7期 萬事達廣場1-3號,MEI FOO SUN CHUEN STAGE VII,美孚新邨第七期,9/1/1976 0:00,131,9397.700000000000728,3836.000000000000000,13233.700000000000728,20,48,42000,0.05,1,0,0,0,1,832400,822056,深水埗區,Sham Shui Po,*
1416,17431,545,22.284330000000001,114.221000000000004,太古城 翠湖台 洞庭閣 (1座),TUNG TING MANSION,洞庭閣,12/1/1976 0:00,0,15351.799999999999272,20.000000000000000,15371.799999999999272,28,48,47210,0.3,1,0,0,0,1,840811,816168,東區,Eastern,*
1417,14552,536,22.285280000000000,114.219399999999993,太古城 高山台 南山閣 (10座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1418,15965,689,22.285280000000000,114.219399999999993,太古城 高山台 怡山閣 (16座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1419,7568,436,22.378440000000001,114.104740000000007,荃威花園 D座,ALLWAY GARDENS BLOCK D,荃威花園Ｄ座,7/1/1978 0:00,380,46779.500000000000000,12341.500000000000000,59121.000000000000000,27,46,30000,2.000000000000000,1,0,0,0,1,828837,826583,荃灣區,Tsuen Wan,*
1420,12836,779,22.278860000000002,114.151799999999994,正大花園,JING TAI GARDEN MANSION,正大花園,4/1/1978 0:00,80,6014.000000000000000,113.900000000000006,6127.899999999999636,27,46,84160,1.000000000000000,1,0,0,1,0,833686,815561,中西區,Central and Western,*
1421,13773,530,22.285280000000000,114.219399999999993,太古城 高山台 龍山閣 (14座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1422,13043,920,22.203430000000001,114.025279999999995,海景台,SEAVIEW TERRACE BLOCK A,海景台Ａ座,7/1/1992 0:00,1,850.600000000000023,0,850.600000000000023,1,32,14160,0,0,0,0,0,0,820637,807211,離島區,Islands,*
1423,13322,593,22.285280000000000,114.219399999999993,太古城 高山台 恆山閣 (12座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1424,9204,465,22.332650000000001,114.162499999999994,金必多大廈,CAPITAL BUILDING SOUTH BLOCK A,金必多大廈Ａ座,7/1/1978 0:00,100,5312.199999999999818,3597.699999999999818,8909.899999999999636,13,46,15620,0.2,1,0,0,0,0,834781,821523,深水埗區,Sham Shui Po,*
1425,13157,570,22.283059999999999,114.213520000000003,南豐新邨 1座,NAM FUNG SUN CHUEN BLOCK 1,南豐新邨第1座,12/1/1977 0:00,0,13599.000000000000000,0,13599.000000000000000,35,47,33000,0.3,1,0,0,1,1,840052,816020,東區,Eastern,*
1426,8242,461,22.377099999999999,114.104439999999997,荃威花園 C座,ALLWAY GARDENS BLOCK C,荃威花園Ｃ座,7/1/1978 0:00,380,46779.500000000000000,12341.500000000000000,59121.000000000000000,27,46,30000,2.000000000000000,1,0,0,0,1,828800,826446,荃灣區,Tsuen Wan,*
1427,7568,436,22.378730000000001,114.104560000000006,荃威花園 E座,ALLWAY GARDENS BLOCK E,荃威花園Ｅ座,7/1/1978 0:00,380,46779.500000000000000,12341.500000000000000,59121.000000000000000,27,46,30000,2.000000000000000,1,0,0,0,1,828819,826616,荃灣區,Tsuen Wan,*
1428,13128,684,22.285280000000000,114.219399999999993,太古城 高山台 恆山閣 (12座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1429,13178,516,22.281920000000000,114.214680000000001,南豐新邨 9座,NAM FUNG SUN CHUEN BLOCK 9,南豐新邨第9座,8/1/1978 0:00,0,12336.000000000000000,0,12336.000000000000000,31,46,33000,0.5,1,0,0,0,1,840158,815895,東區,Eastern,*
1430,15011,433,22.316549999999999,114.216620000000006,富裕大廈,FOO YUE BUILDING,富裕大廈,8/1/1976 0:00,152,5569.300000000000182,1614.500000000000000,7183.800000000000182,26,48,21250,0.2,1,0,0,1,0,840361,819731,觀塘區,Kwun Tong,*
1431,11589,516,22.281630000000000,114.213440000000006,南豐新邨 5座,NAM FUNG SUN CHUEN BLOCK 5,南豐新邨第5座,2/1/1978 0:00,0,11914.000000000000000,0,11914.000000000000000,29,47,33000,0.5,1,0,0,0,1,840044,815862,東區,Eastern,*
1432,14912,456,22.268899999999999,114.184250000000006,金光大廈,KAM KWONG MANSION,金光大廈,9/1/1977 0:00,88,4021.599999999999909,807.100000000000023,4828.699999999999818,25,47,34160,1.500000000000000,1,0,0,1,0,837028,814446,灣仔區,Wan Chai,*
1433,9817,438,22.317260000000001,114.230770000000007,富華閣,FU WAH COURT,富華閣,3/1/1978 0:00,0,18317.299999999999272,4445.600000000000364,22762.900000000001455,32,47,25500,1.500000000000000,1,0,0,1,0,841819,819810,觀塘區,Kwun Tong,*
1434,11428,420,22.287530000000000,114.137870000000007,均益大廈 第2期 B座,KWAN YICK BUILDING PHASE II BLOCK B,均益大廈第二期B座,10/1/1977 0:00,0,37450.400000000001455,7810.600000000000364,45261.000000000000000,25,47,21250,0.3,1,0,0,0,0,832253,816505,中西區,Central and Western,*
1435,11007,516,22.281630000000000,114.213440000000006,南豐新邨 5座,NAM FUNG SUN CHUEN BLOCK 5,南豐新邨第5座,2/1/1978 0:00,0,11914.000000000000000,0,11914.000000000000000,29,47,33000,0.5,1,0,0,0,1,840044,815862,東區,Eastern,*
1436,11252,551,22.289330000000000,114.196759999999998,建明大廈,KIN MING BUILDING,建明大廈,6/1/1978 0:00,0,1995.799999999999955,800.200000000000045,2796.000000000000000,20,46,34120,0.5,1,0,0,1,0,838319,816710,東區,Eastern,*
1437,10379,501,22.318180000000002,114.171530000000004,金都大廈,KAM DO MANSION,金都大廈,2/1/1978 0:00,28,1624.099999999999909,466.800000000000011,2090.900000000000091,16,47,19640,0.2,1,0,1,1,0,835718,819908,油尖旺區,Yau Tsim Mong,*
1438,9062,640,22.432220000000001,113.994479999999996,柏雨花園 3座,PARKVIEW GARDEN,柏雨花園,3/1/1978 0:00,0,416.199999999999989,0,416.199999999999989,3,47,31830,0.4,0,0,0,0,0,817494,832544,元朗區,Yuen Long,*
1439,15011,433,22.316549999999999,114.216620000000006,富裕大廈,FOO YUE BUILDING,富裕大廈,8/1/1976 0:00,152,5569.300000000000182,1614.500000000000000,7183.800000000000182,26,48,21250,0.2,1,0,0,1,0,840361,819731,觀塘區,Kwun Tong,*
1440,13121,471,22.304150000000000,114.172780000000003,富裕臺 B座,FORTUNE TERRACE,富裕臺,9/1/1978 0:00,270,15773.399999999999636,651.200000000000045,16424.599999999998545,2,46,38750,0.05,0,0,0,0,0,835851,818354,油尖旺區,Yau Tsim Mong,*
1441,11347,423,22.287640000000000,114.138270000000006,均益大廈 第2期 D座,KWAN YICK BUILDING PHASE II BLOCK D,均益大廈第二期D座,10/1/1977 0:00,0,37450.400000000001455,7810.600000000000364,45261.000000000000000,25,47,21250,0.3,1,0,0,0,0,832292,816517,中西區,Central and Western,*
1442,8688,587,22.316569999999999,114.220399999999998,凱德大廈 A座,HYDE TOWERS BLOCK B,凱德大廈Ｂ座,9/1/1977 0:00,310,19062.900000000001455,0,19062.900000000001455,19,47,33800,0.9,1,0,0,1,0,840753,819730,觀塘區,Kwun Tong,*
1443,16666,510,22.341850000000001,114.181590000000000,碧麗閣 C座,PHOENIX COURT BLOCK C,碧麗閣Ｃ座,11/1/1977 0:00,72,4822.899999999999636,0,4822.899999999999636,10,47,70000,0.9,1,0,0,0,0,836754,822531,九龍城區,Kowloon City,*
1444,15384,455,22.290720000000000,114.200059999999993,錦明園,KAM MING YUEN,錦明園,11/1/1977 0:00,0,3344.000000000000000,360.000000000000000,3704.000000000000000,19,47,22170,0.05,1,0,0,0,0,838649,816867,東區,Eastern,*
1445,12209,516,22.282280000000000,114.214699999999993,南豐新邨 10座,NAM FUNG SUN CHUEN BLOCK 10,南豐新邨第10座,9/1/1978 0:00,0,12757.000000000000000,0,12757.000000000000000,32,46,33000,0.5,1,0,0,0,1,840160,815934,東區,Eastern,*
1446,14619,684,22.285280000000000,114.219399999999993,太古城 高山台 富山閣 (18座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1447,18464,612,22.342140000000001,114.181889999999996,碧麗閣 E座,PHOENIX COURT BLOCK E,碧麗閣Ｅ座,10/1/1977 0:00,54,3693.199999999999818,0,3693.199999999999818,11,47,70000,1.000000000000000,1,0,0,0,0,836785,822562,九龍城區,Kowloon City,*
1448,15806,620,22.281340000000000,114.150509999999997,雅景大廈,GREEN FIELD COURT,雅景大廈,11/1/1977 0:00,42,2954.699999999999818,0,2954.699999999999818,22,47,50000,0.8,1,0,0,1,0,833547,815826,中西區,Central and Western,*
1449,13133,434,22.288840000000000,114.194680000000005,光超台 B座,KWONG CHIU TERRACE BLOCK B,光超台 B 座,7/1/1978 0:00,0,15410.000000000000000,861.000000000000000,16271.000000000000000,32,46,51000,0.05,1,0,0,0,0,838103,816662,東區,Eastern,*
1450,10752,465,22.332650000000001,114.162499999999994,金必多大廈,CAPITAL BUILDING SOUTH BLOCK A,金必多大廈Ａ座,7/1/1978 0:00,100,5312.199999999999818,3597.699999999999818,8909.899999999999636,13,46,15620,0.2,1,0,0,0,0,834781,821523,深水埗區,Sham Shui Po,*
1451,9552,670,22.335120000000000,114.142030000000005,美孚新邨 8期 百老匯街126-128號,MEI FOO SUN CHUEN STAGE VIII,美孚新邨第八期,5/1/1978 0:00,128,107377.000000000000000,6313.100000000000364,113690.100000000005821,17,46,60000,0.4,1,0,0,0,1,832682,821787,深水埗區,Sham Shui Po,*
1452,10368,434,22.378730000000001,114.104560000000006,荃威花園 E座,ALLWAY GARDENS BLOCK E,荃威花園Ｅ座,7/1/1978 0:00,380,46779.500000000000000,12341.500000000000000,59121.000000000000000,27,46,30000,2.000000000000000,1,0,0,0,1,828819,826616,荃灣區,Tsuen Wan,*
1453,15463,582,22.285280000000000,114.219399999999993,太古城 高山台 金山閣 (17座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1454,14333,593,22.285280000000000,114.219399999999993,太古城 高山台 富山閣 (18座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1455,12714,582,22.285280000000000,114.219399999999993,太古城 高山台 龍山閣 (14座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1456,16494,582,22.285280000000000,114.219399999999993,太古城 高山台 鳳山閣 (15座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1457,11901,689,22.285280000000000,114.219399999999993,太古城 高山台 鳳山閣 (15座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1458,13567,684,22.285280000000000,114.219399999999993,太古城 高山台 恆山閣 (12座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1459,10887,992,22.334219999999998,114.141779999999997,美孚新邨 8期 百老匯街110-112號,MEI FOO SUN CHUEN STAGE VIII,美孚新邨第八期,5/1/1978 0:00,128,107377.000000000000000,6313.100000000000364,113690.100000000005821,21,46,60000,0.6,1,0,0,1,1,832655,821683,深水埗區,Sham Shui Po,*
1460,10089,674,22.335170000000002,114.141790000000000,美孚新邨 8期 百老匯街122-124號,MEI FOO SUN CHUEN STAGE VIII,美孚新邨第八期,5/1/1978 0:00,128,107377.000000000000000,6313.100000000000364,113690.100000000005821,17,46,60000,0.3,1,0,0,0,1,832655,821791,深水埗區,Sham Shui Po,*
1461,16863,593,22.285280000000000,114.219399999999993,太古城 高山台 富山閣 (18座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1462,14147,516,22.281980000000001,114.213459999999998,南豐新邨 4座,NAM FUNG SUN CHUEN BLOCK 4,南豐新邨第4座,2/1/1978 0:00,0,11914.000000000000000,0,11914.000000000000000,29,47,33000,0.5,1,0,0,0,1,840046,815901,東區,Eastern,*
1463,9503,947,22.334420000000001,114.141289999999998,美孚新邨 8期 百老匯街102-104號,MEI FOO SUN CHUEN STAGE VIII,美孚新邨第八期,5/1/1978 0:00,128,107377.000000000000000,6313.100000000000364,113690.100000000005821,21,46,60000,0.4,1,0,0,0,1,832601,821707,深水埗區,Sham Shui Po,*
1464,9365,457,22.376950000000001,114.104150000000004,荃威花園 B座,ALLWAY GARDENS BLOCK B,荃威花園Ｂ座,7/1/1978 0:00,380,46779.500000000000000,12341.500000000000000,59121.000000000000000,27,46,30000,2.000000000000000,1,0,0,0,1,828772,826428,荃灣區,Tsuen Wan,*
1465,10089,674,22.335120000000000,114.142030000000005,美孚新邨 8期 百老匯街126-128號,MEI FOO SUN CHUEN STAGE VIII,美孚新邨第八期,5/1/1978 0:00,128,107377.000000000000000,6313.100000000000364,113690.100000000005821,17,46,60000,0.4,1,0,0,0,1,832682,821787,深水埗區,Sham Shui Po,*
1466,8351,461,22.376950000000001,114.104150000000004,荃威花園 B座,ALLWAY GARDENS BLOCK B,荃威花園Ｂ座,7/1/1978 0:00,380,46779.500000000000000,12341.500000000000000,59121.000000000000000,27,46,30000,2.000000000000000,1,0,0,0,1,828772,826428,荃灣區,Tsuen Wan,*
1467,11536,423,22.287590000000002,114.138069999999999,均益大廈 第2期 C座,KWAN YICK BUILDING PHASE II BLOCK C,均益大廈第二期C座,10/1/1977 0:00,0,37450.400000000001455,7810.600000000000364,45261.000000000000000,25,47,21250,0.3,1,0,0,0,0,832273,816510,中西區,Central and Western,*
1468,12917,689,22.285280000000000,114.219399999999993,太古城 高山台 鳳山閣 (15座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1469,8941,671,22.334800000000001,114.141959999999997,美孚新邨 8期 百老匯街130-132號,MEI FOO SUN CHUEN STAGE VIII,美孚新邨第八期,5/1/1978 0:00,128,107377.000000000000000,6313.100000000000364,113690.100000000005821,17,46,60000,0.4,1,0,0,0,1,832673,821749,深水埗區,Sham Shui Po,*
1470,16642,691,22.285280000000000,114.219399999999993,太古城 高山台 寶山閣 (11座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1471,16612,620,22.342070000000000,114.182190000000006,碧麗閣 G座,PHOENIX COURT BLOCK G,碧麗閣Ｇ座,10/1/1977 0:00,63,4019.800000000000182,0,4019.800000000000182,9,47,70000,0.9,1,0,0,0,0,836817,822555,九龍城區,Kowloon City,*
1472,15116,516,22.283059999999999,114.213520000000003,南豐新邨 1座,NAM FUNG SUN CHUEN BLOCK 1,南豐新邨第1座,12/1/1977 0:00,0,13599.000000000000000,0,13599.000000000000000,35,47,33000,0.3,1,0,0,1,1,840052,816020,東區,Eastern,*
1473,11929,570,22.282640000000001,114.214720000000000,南豐新邨 11座,NAM FUNG SUN CHUEN BLOCK 11,南豐新邨第11座,9/1/1978 0:00,0,12757.000000000000000,0,12757.000000000000000,32,46,33000,0.4,1,0,0,0,1,840163,815973,東區,Eastern,*
1474,11423,611,22.335170000000002,114.141790000000000,美孚新邨 8期 百老匯街122-124號,MEI FOO SUN CHUEN STAGE VIII,美孚新邨第八期,5/1/1978 0:00,128,107377.000000000000000,6313.100000000000364,113690.100000000005821,17,46,60000,0.3,1,0,0,0,1,832655,821791,深水埗區,Sham Shui Po,*
1475,14655,580,22.268719999999998,114.183400000000006,鳳輝閣,FUNG FAI COURT,鳳輝閣,6/1/1978 0:00,38,2316.800000000000182,0,2316.800000000000182,5,46,56640,1.500000000000000,1,0,0,0,0,836933,814432,灣仔區,Wan Chai,*
1476,13546,516,22.281590000000001,114.214280000000002,南豐新邨 7座,NAM FUNG SUN CHUEN BLOCK 7,南豐新邨第7座,6/1/1978 0:00,0,11645.000000000000000,74.200000000000003,11719.200000000000728,29,46,33000,0.5,1,0,0,0,1,840123,815865,東區,Eastern,*
1477,10747,977,22.334219999999998,114.141779999999997,美孚新邨 8期 百老匯街110-112號,MEI FOO SUN CHUEN STAGE VIII,美孚新邨第八期,5/1/1978 0:00,128,107377.000000000000000,6313.100000000000364,113690.100000000005821,21,46,60000,0.6,1,0,0,1,1,832655,821683,深水埗區,Sham Shui Po,*
1478,12908,674,22.335120000000000,114.142030000000005,美孚新邨 8期 百老匯街126-128號,MEI FOO SUN CHUEN STAGE VIII,美孚新邨第八期,5/1/1978 0:00,128,107377.000000000000000,6313.100000000000364,113690.100000000005821,17,46,60000,0.4,1,0,0,0,1,832682,821787,深水埗區,Sham Shui Po,*
1479,17518,685,22.285280000000000,114.219399999999993,太古城 高山台 怡山閣 (16座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1480,12631,570,22.282280000000000,114.214699999999993,南豐新邨 10座,NAM FUNG SUN CHUEN BLOCK 10,南豐新邨第10座,9/1/1978 0:00,0,12757.000000000000000,0,12757.000000000000000,32,46,33000,0.5,1,0,0,0,1,840160,815934,東區,Eastern,*
1481,18549,593,22.272369999999999,114.174289999999999,慧景臺 B座,GRANDVIEW TOWER,慧景臺,2/1/1978 0:00,240,19481.000000000000000,7426.000000000000000,26907.000000000000000,36,47,76210,0.6,1,0,0,1,0,835988,814840,灣仔區,Wan Chai,*
1482,18490,530,22.285280000000000,114.219399999999993,太古城 高山台 鳳山閣 (15座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1483,12231,587,22.316569999999999,114.220399999999998,凱德大廈 A座,HYDE TOWERS BLOCK B,凱德大廈Ｂ座,9/1/1977 0:00,310,19062.900000000001455,0,19062.900000000001455,19,47,33800,0.9,1,0,0,1,0,840753,819730,觀塘區,Kwun Tong,*
1484,14026,606,22.304150000000000,114.172780000000003,富裕臺 A座,FORTUNE TERRACE,富裕臺,9/1/1978 0:00,270,15773.399999999999636,651.200000000000045,16424.599999999998545,2,46,38750,0.05,0,0,0,0,0,835851,818354,油尖旺區,Yau Tsim Mong,*
1485,13416,401,22.298940000000002,114.175139999999999,華寶大廈 A座,PRAT MANSIONS,華寶大廈,9/1/1977 0:00,128,6041.699999999999818,3016.800000000000182,9058.500000000000000,18,47,16650,0.2,1,0,0,0,0,836092,817780,油尖旺區,Yau Tsim Mong,*
1486,11901,689,22.285280000000000,114.219399999999993,太古城 高山台 龍山閣 (14座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1487,16849,546,22.342849999999999,114.182680000000005,嘉翠園,CLIFFORD MANSION,嘉翠園,8/1/1978 0:00,90,6604.699999999999818,0,6604.699999999999818,7,46,94500,1.000000000000000,1,0,0,1,0,836865,822640,九龍城區,Kowloon City,*
1488,14640,806,22.331910000000001,114.174180000000007,屏園,PING YUEN,屏園,2/1/1978 0:00,15,1566.099999999999909,0,1566.099999999999909,4,47,86290,0.7,0,0,0,1,0,835987,821431,深水埗區,Sham Shui Po,*
1489,12975,578,22.279570000000000,114.224320000000006,碧麗閣 B座,BELLEVE COURT BLOCK B,碧麗閣B座,9/1/1988 0:00,300,9939.799999999999272,670.200000000000045,10610.000000000000000,27,36,30000,0.4,1,0,0,0,0,841159,815637,東區,Eastern,*
1490,14077,753,22.279570000000000,114.224320000000006,碧麗閣 B座,BELLEVE COURT BLOCK B,碧麗閣B座,9/1/1988 0:00,300,9939.799999999999272,670.200000000000045,10610.000000000000000,27,36,30000,0.4,1,0,0,0,0,841159,815637,東區,Eastern,*
1491,13913,552,22.285139999999998,114.192430000000002,田華閣,TIMMAR COURT,田華閣,12/1/1977 0:00,0,2598.000000000000000,1044.000000000000000,3642.000000000000000,24,47,23660,0.3,1,0,0,1,0,837869,816258,東區,Eastern,*
1492,12937,657,22.341850000000001,114.181590000000000,碧麗閣 C座,PHOENIX COURT BLOCK C,碧麗閣Ｃ座,11/1/1977 0:00,72,4822.899999999999636,0,4822.899999999999636,10,47,70000,0.9,1,0,0,0,0,836754,822531,九龍城區,Kowloon City,*
1493,13868,685,22.285280000000000,114.219399999999993,太古城 高山台 怡山閣 (16座),TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,12/1/1981 0:00,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1494,9523,441,22.262670000000000,114.236500000000007,柴灣戲院大廈,CHAI WAN CINEMA BUILDING,柴灣戲院大廈,11/1/1978 0:00,151,7626.800000000000182,4808.199999999999818,12435.000000000000000,28,46,23770,0.05,1,0,0,1,0,842410,813752,東區,Eastern,*
1495,16050,433,22.316549999999999,114.216620000000006,富裕大廈,FOO YUE BUILDING,富裕大廈,8/1/1976 0:00,152,5569.300000000000182,1614.500000000000000,7183.800000000000182,26,48,21250,0.2,1,0,0,1,0,840361,819731,觀塘區,Kwun Tong,*
1496,14880,672,22.278860000000002,114.151799999999994,正大花園,JING TAI GARDEN MANSION,正大花園,4/1/1978 0:00,80,6014.000000000000000,113.900000000000006,6127.899999999999636,27,46,84160,1.000000000000000,1,0,0,1,0,833686,815561,中西區,Central and Western,*
